No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
1,2-10 keV (XMM),4e-13,,,erg/cm^2/s,1.45000006314413e+18,2.75862056952366e-08,,,,,40000000000.0,,,,,XMM-Newton,EPIC pn,6.0,keV,modelled datum,2011MNRAS.413.1206B
2,0.2-4 keV (EINSTEIN),5.098e-12,,,erg/cm^2/s,5.24599984e+17,9.71788058613437e-07,,,,,509800000000.0,,,,,Einstein,IPC,2.1,keV,flux integrated from map or image,1992ApJS...80..531F
3,0.2-4 keV (EINSTEIN),4.695e-12,,,erg/cm^2/s,5.24599984e+17,8.94967621653606e-07,,,,,469500000000.0,,,,,Einstein,IPC,2.1,keV,flux integrated from map or image,1992ApJS...80..531F
4,0.1-2.4 keV (ROSAT),3.1e-12,4.6e-13,4.6e-13,erg/cm^2/s,3.25000003e+17,9.5384614504142e-07,1.41538460231953e-07,1.41538460231953e-07,,,310000000000.0,46000000000.0,46000000000.0,,,ROSAT,?,1.3,keV,flux integrated from map or image,1994A&A...281..355B
5,0.1-2 keV (Chandra),5.8e-13,,,erg/cm^2/s,2.54000002e+17,2.2834645489491e-07,,,,,58000000000.0,,,,,Chandra,ACIS-S,1.05,keV,flux integrated from map or image,2004ApJ...610..213T
6,1030 A (FUSE),4.1e-14,,,erg/cm^2/s/A,2910000060000000.0,0.001453,,,,,4228230087180.0,,,,,FUSE,?,1030.0,A,flux integrated from map or image,2006ApJS..165..229F
7,1150 A (FUSE),6e-13,6e-14,6e-14,erg/cm^2/s/A,2610000090000000.0,0.0265,0.00265,0.00265,,,69165002385000.0,6916500238500.0,6916500238500.0,,,FUSE,?,1150.0,A,modelled datum,2007MNRAS.381..228P
8,1482A (IUE),2.343e-13,3.97e-14,3.97e-14,erg/cm^2/s/A,2022890000000000.0,0.01719,0.002912,0.002912,,,34773479100000.0,5890655680000.0,5890655680000.0,,,IUE,"SWP, LWR, LWP",1482.0,A,flux in fixed aperture,1993ApJS...86....5K
9,FUV (GALEX) AB,10.62,0.01,0.01,mag,1980000060000000.0,0.2051,0.001889,0.001889,,,406098012306000.0,3740220113340.0,3740220113340.0,,,GALEX,FUV detector,1516.0,A,total flux; beam filling or dilution corrected,2007ApJS..173..185G
10,FUV (GALEX),-0.389,0.001,0.001,log(Jy),1980000056115200.0,0.4083,0.0009402,0.0009402,,,808434022911836.0,1861596052759.51,1861596052759.51,,,GALEX,FUV detector,1516.0,A,flux in fixed aperture,2010ApJ...725.2029H
11,FUV (GALEX) AB,10.14,0.05,0.05,mag,1960000004030460.0,0.3192,0.0147,0.0147,,,625632001286523.0,28812000059247.8,28812000059247.8,,,GALEX,FUV detector,1528.0,A,total flux; beam filling or dilution corrected,2017MNRAS.472.3029W
12,FUV (GALEX) AB,10.12,0.32,0.32,mag,1960000004030460.0,0.3251,0.09582,0.09582,,,637196001310303.0,187807200386199.0,187807200386199.0,,,GALEX,FUV detector,1530.0,A,total flux; beam filling or dilution corrected,2018ApJS..234...18B
13,FUV (GALEX) AB,10.07,0.05,0.05,mag,1949999977988100.0,0.3404,0.01568,0.01568,,,663779992507149.0,30575999654853.4,30575999654853.4,,,GALEX,FUV detector,1539.0,A,flux in fixed aperture,2011ApJS..192....6L
14,1913A (IUE),1.709e-13,1.22e-14,1.22e-14,erg/cm^2/s/A,1567129950000000.0,0.02089,0.001491,0.001491,,,32737344655500.0,2336590755450.0,2336590755450.0,,,IUE,"SWP, LWR, LWP",1913.0,A,flux in fixed aperture,1993ApJS...86....5K
15,NUV (GALEX) AB,10.04,0.01,0.01,mag,1319999950000000.0,0.35,0.003223,0.003223,,,461999982500000.0,4254359838850.0,4254359838850.0,,,GALEX,NUV detector,2267.0,A,total flux; beam filling or dilution corrected,2007ApJS..173..185G
16,NUV (GALEX) AB,9.54,0.03,0.03,mag,1319999947931650.0,0.5547,0.01533,0.01533,,,732203971117686.0,20235599201792.2,20235599201792.2,,,GALEX,NUV detector,2271.0,A,total flux; beam filling or dilution corrected,2017MNRAS.472.3029W
17,NUV (GALEX),-0.385,0.001,0.001,log(Jy),1319999947931600.0,0.4121,0.0009489,0.0009489,,,543971978542612.0,1252547950592.3,1252547950592.3,,,GALEX,NUV detector,2271.0,A,flux in fixed aperture,2010ApJ...725.2029H
18,NUV (GALEX) AB,9.28,0.89,0.89,mag,1300000030064640.0,0.7047,0.5777,0.5777,,,916110021186552.0,751010017368342.0,751010017368342.0,,,GALEX,NUV detector,2310.0,A,total flux; beam filling or dilution corrected,2018ApJS..234...18B
19,NUV (GALEX) AB,9.59,0.03,0.03,mag,1290000004022300.0,0.5297,0.01464,0.01464,,,683313002130612.0,18885600058886.5,18885600058886.5,,,GALEX,NUV detector,2316.0,A,flux in fixed aperture,2011ApJS..192....6L
20,NUV (GALEX),9.63,0.01,0.01,mag,1290000004022270.0,0.1109,0.001021,0.001021,,,143061000446070.0,1317090004106.74,1317090004106.74,,,GALEX,NUV detector,2316.0,A,flux in fixed aperture,2015ApJS..220....6B
21,NUV (GALEX),9.63,0.02,0.02,mag,1290000004022270.0,0.1109,0.002042,0.002042,,,143061000446070.0,2634180008213.48,2634180008213.48,,,GALEX,NUV detector,2316.0,A,flux in fixed aperture,2015ApJS..220....6B
22,2373A (IUE),1.643e-13,2.6e-14,2.6e-14,erg/cm^2/s/A,1263350000000000.0,0.0309,0.00489,0.00489,,,39037515000000.0,6177781500000.0,6177781500000.0,,,IUE,"SWP, LWR, LWP",2373.0,A,flux in fixed aperture,1993ApJS...86....5K
23,2700A (IUE),1.522e-13,1.24e-14,1.24e-14,erg/cm^2/s/A,1110339980000000.0,0.03706,0.003019,0.003019,,,41149199658800.0,3352116399620.0,3352116399620.0,,,IUE,"SWP, LWR, LWP",2700.0,A,flux in fixed aperture,1993ApJS...86....5K
24,F300W (HST),2.9e-13,,,erg/cm^2/s/A,999999987000000.0,0.08659,,,,,86589998874330.0,,,,,HST,WFPC2,2990.0,A,flux integrated from map or image,2004AJ....127.1405C
25,U (U_T),8.23,0.04,0.04,mag,818999999000000.0,0.924,0.03682,0.03682,,,756755999076000.0,30155579963180.0,30155579963180.0,,,Literature compilation,Literature compilation,3660.0,A,flux integrated from map or image,1991RC3.9.C...0000d
26,U (U_T^0),7.97,,,mag,818999999000000.0,1.174,,,,,961505998826000.0,,,,,Literature compilation,Literature compilation,3660.0,A,flux integrated from map or image,1991RC3.9.C...0000d
27,U (Johnson) AB,8.85,0.03,0.03,mag,818999998808064.0,1.047,0.02893,0.02893,,,857492998752043.0,23693669965517.3,23693669965517.3,,,Multiple telescopes,Multiple instruments,3660.0,A,flux in fixed aperture,2014MNRAS.445..881C
28,B (CTIO),8.5,,,mag,688000007000000.0,1.696,,,,,1166848011872000.0,,,,,0.9m,Tek2K CCD,4360.0,A,flux in fixed aperture,2004ApJ...613..914H
29,B (Johnson) AB,8.11,0.03,0.03,mag,681000015233024.0,2.07,0.0572,0.0572,,,1409670031532360.0,38953200871329.0,38953200871329.0,,,Multiple telescopes,Multiple instruments,4400.0,A,flux in fixed aperture,2014MNRAS.445..881C
30,B (m_B),8.31,0.21,0.21,mag,681000015000000.0,2.02,0.4311,0.4311,,,1375620030300000.0,293579106466500.0,293579106466500.0,,,Literature compilation,Literature compilation,4400.0,A,multiple methods,1991RC3.9.C...0000d
31,B (B_T),8.2,0.03,0.03,mag,681000015000000.0,2.236,0.06263,0.06263,,,1522716033540000.0,42651030939450.0,42651030939450.0,,,Literature compilation,Literature compilation,4400.0,A,flux integrated from map or image,1991RC3.9.C...0000d
32,B (B_T^0),7.98,,,mag,681000015000000.0,2.738,,,,,1864578041070000.0,,,,,Literature compilation,Literature compilation,4400.0,A,multiple methods,1991RC3.9.C...0000d
33,B (Cousins) (B_26),8.26,0.09,0.09,mag,681000015000000.0,2.108,0.1822,0.1822,,,1435548031620000.0,124078202733000.0,124078202733000.0,,,1m Schmidt,PDS,4400.0,A,modelled datum,1989ESOLV.C...0000L
34,B (Cousins) (B_25),8.31,0.09,0.09,mag,681000015000000.0,2.025,0.175,0.175,,,1379025030375000.0,119175002625000.0,119175002625000.0,,,1m Schmidt,PDS,4400.0,A,modelled datum,1989ESOLV.C...0000L
35,B (Cousins) (B_T),8.22,0.09,0.09,mag,681000015000000.0,2.188,0.1891,0.1891,,,1490028032820000.0,128777102836500.0,128777102836500.0,,,1m Schmidt,PDS,4400.0,A,modelled datum,1989ESOLV.C...0000L
36,B_J,8.9696,,,mag,640999978000000.0,1.02,,,,,653819977560000.0,,,,,UKST,Photographic plates,4680.0,A,flux in fixed aperture,2005MNRAS.361...34D
37,V (Johnson),8.54,,,mag,542120000000000.0,1.397,,,,,757341640000000.0,,,,,Literature compilation,Literature compilation,5530.0,A,flux in fixed aperture,1988VIrPh.C...0000d
38,V (V_T),7.54,0.04,0.04,mag,542000009000000.0,3.508,0.1398,0.1398,,,1901336031572000.0,75771601258200.0,75771601258200.0,,,Literature compilation,Literature compilation,5530.0,A,flux integrated from map or image,1991RC3.9.C...0000d
39,V (V_T^0),7.37,,,mag,542000009000000.0,4.103,,,,,2223826036927000.0,,,,,Literature compilation,Literature compilation,5530.0,A,flux integrated from map or image,1991RC3.9.C...0000d
40,V (Johnson) AB,7.52,0.03,0.03,mag,542000008921088.0,3.565,0.0985,0.0985,,,1932230031803680.0,53387000878727.2,53387000878727.2,,,Multiple telescopes,Multiple instruments,5530.0,A,flux in fixed aperture,2014MNRAS.445..881C
41,R (Cousins) (R_25),7.39,0.09,0.09,mag,468000004000000.0,3.405,0.2943,0.2943,,,1593540013620000.0,137732401177200.0,137732401177200.0,,,1m Schmidt,PDS,6400.0,A,modelled datum,1989ESOLV.C...0000L
42,R (Cousins) (R_26),7.36,0.09,0.09,mag,468000004000000.0,3.517,0.304,0.304,,,1645956014068000.0,142272001216000.0,142272001216000.0,,,1m Schmidt,PDS,6400.0,A,modelled datum,1989ESOLV.C...0000L
43,R (Cousins) (R_T),7.34,0.09,0.09,mag,468000004000000.0,3.559,0.3076,0.3076,,,1665612014236000.0,143956801230400.0,143956801230400.0,,,1m Schmidt,PDS,6400.0,A,modelled datum,1989ESOLV.C...0000L
44,R,9.2623,,,mag,468000004000000.0,0.6076,,,,,284356802430400.0,,,,,UKST,Photographic plates,6400.0,A,flux in fixed aperture,2005MNRAS.361...34D
45,R (CTIO),7.5,,,mag,465999992000000.0,3.08,,,,,1435279975360000.0,,,,,0.9m,Tek2K CCD,6440.0,A,flux in fixed aperture,2004ApJ...613..914H
46,R' (Johnson),8.03,,,mag,448120010000000.0,1.706,,,,,764492737060000.0,,,,,Literature compilation,Literature compilation,6690.0,A,flux in fixed aperture,1988VIrPh.C...0000d
47,I,8.5185,,,mag,378999994000000.0,0.998,,,,,378241994012000.0,,,,,UKST,Photographic plates,7900.0,A,flux in fixed aperture,2005MNRAS.361...34D
48,R (Cousins) AB,7.21,0.03,0.03,mag,378999993794560.0,4.743,0.131,0.131,,,1797596970567600.0,49648999187087.4,49648999187087.4,,,Multiple telescopes,Multiple instruments,7900.0,A,flux in fixed aperture,2014MNRAS.445..881C
49,I' (Johnson),7.47,,,mag,374740997000000.0,2.303,,,,,863028516091000.0,,,,,Literature compilation,Literature compilation,8000.0,A,flux in fixed aperture,1988VIrPh.C...0000d
50,J (AAO),9.99,0.03,0.03,mag,249827007000000.0,0.1655,0.004637,0.004637,,,41346369658500.0,1158447831459.0,1158447831459.0,,,AAT,AAO IR photometer,1.2,microns,flux in fixed aperture,1982MNRAS.199..953W
51,J,8.35,0.12,0.12,mag,249827007000000.0,0.7496,0.0876,0.0876,,,187270324447200.0,21884845813200.0,21884845813200.0,,,"1.88m, 1.5m, 1m",Photometer,1.2,microns,flux in fixed aperture,1976MNRAS.175..191G
52,J (RGO),8.41,0.07,0.07,mag,249827007000000.0,0.7093,0.04724,0.04724,,,177202296065100.0,11801827810680.0,11801827810680.0,,,"74in, 40in",Photometer,1.2,microns,flux in fixed aperture,1973MNRAS.164..155G
53,J (RGO),8.58,0.07,0.07,mag,249827007000000.0,0.6065,0.04039,0.04039,,,151520079745500.0,10090512812730.0,10090512812730.0,,,"74in, 40in",Photometer,1.2,microns,flux in fixed aperture,1973MNRAS.164..155G
54,J (RGO),9.32,0.1,0.1,mag,249827007000000.0,0.3068,0.0296,0.0296,,,76646925747600.0,7394879407200.0,7394879407200.0,,,"74in, 40in",Photometer,1.2,microns,flux in fixed aperture,1973MNRAS.164..155G
55,J (Johnson),7.75,0.06,0.06,mag,241768004000000.0,1.273,0.07235,0.07235,,,307770669092000.0,17491915089400.0,17491915089400.0,,,Multiple telescopes,Photometer,1.24,microns,flux in fixed aperture,1977HarvU.T00M....A
56,J (Johnson),8.45,0.03,0.03,mag,241768004000000.0,0.6682,0.01872,0.01872,,,161549380272800.0,4525897034880.0,4525897034880.0,,,Multiple telescopes,Photometer,1.24,microns,flux in fixed aperture,1977HarvU.T00M....A
57,J (Johnson),7.89,0.03,0.03,mag,241768004000000.0,1.119,0.03136,0.03136,,,270538396476000.0,7581844605440.0,7581844605440.0,,,Multiple telescopes,Photometer,1.24,microns,flux in fixed aperture,1977HarvU.T00M....A
58,J (Johnson),8.22,0.06,0.06,mag,241768004000000.0,0.8259,0.04693,0.04693,,,199676194503600.0,11346172427720.0,11346172427720.0,,,Multiple telescopes,Photometer,1.24,microns,flux in fixed aperture,1977HarvU.T00M....A
59,F_J (total),4.14,3.55,3.55,log(mJy),240999993000000.0,13.804,3.5742,3.5742,,,3326763903372000.0,861382174980600.0,861382174980600.0,,,"1.0m, 2.1m",InSb detector,1.244,microns,corrected to total flux from single aperture measurements,1995ApJ...453..616S
60,J_tot (2MASS LGA),5.538,0.018,0.018,mag,240000004000000.0,9.6994,0.16214,0.16214,,,2327856038797600.0,38913600648560.0,38913600648560.0,,,1.3m,256x256 NICMOS3,1.25,microns,total flux; beam filling or dilution corrected,2003AJ....125..525J
61,J_20 (2MASS LGA),5.652,0.016,0.016,mag,240000004000000.0,8.7326,0.12964,0.12964,,,2095824034930400.0,31113600518560.0,31113600518560.0,,,1.3m,256x256 NICMOS3,1.25,microns,flux integrated from map or image,2003AJ....125..525J
62,J_Kron (2MASS LGA),5.591,0.016,0.016,mag,240000004000000.0,9.2373,0.13714,0.13714,,,2216952036949200.0,32913600548560.0,32913600548560.0,,,1.3m,256x256 NICMOS3,1.25,microns,flux integrated from map or image,2003AJ....125..525J
63,J_14arcsec (2MASS),9.151,0.015,0.015,mag,240000004000000.0,0.34797,0.0048408,0.0048408,,,83512801391880.0,1161792019363.2,1161792019363.2,,,1.3m,256x256 NICMOS3,1.25,microns,flux in fixed aperture,20032MASX.C.......:
64,F_H (total),4.26,3.67,3.67,log(mJy),184000006000000.0,18.197,4.7116,4.7116,,,3348248109182000.0,866934428269600.0,866934428269600.0,,,"1.0m, 2.1m",InSb detector,1.634,microns,corrected to total flux from single aperture measurements,1995ApJ...453..616S
65,H (RGO),7.89,0.07,0.07,mag,182799999000000.0,0.7192,0.04789,0.04789,,,131469759280800.0,8754291952110.0,8754291952110.0,,,"74in, 40in",Photometer,1.64,microns,flux in fixed aperture,1973MNRAS.164..155G
66,H (RGO),8.49,0.08,0.08,mag,182799999000000.0,0.4138,0.03164,0.03164,,,75642639586200.0,5783791968360.0,5783791968360.0,,,"74in, 40in",Photometer,1.64,microns,flux in fixed aperture,1973MNRAS.164..155G
67,H (AAO),9.33,0.03,0.03,mag,182799999000000.0,0.1909,0.005349,0.005349,,,34896519809100.0,977797194651.0,977797194651.0,,,AAT,AAO IR photometer,1.64,microns,flux in fixed aperture,1982MNRAS.199..953W
68,H (RGO),7.65,0.07,0.07,mag,182799999000000.0,0.8971,0.05974,0.05974,,,163989879102900.0,10920471940260.0,10920471940260.0,,,"74in, 40in",Photometer,1.64,microns,flux in fixed aperture,1973MNRAS.164..155G
69,H,7.61,0.12,0.12,mag,182799999000000.0,0.9308,0.1088,0.1088,,,170150239069200.0,19888639891200.0,19888639891200.0,,,"1.88m, 1.5m, 1m",Photometer,1.64,microns,flux in fixed aperture,1976MNRAS.175..191G
70,H_20 (2MASS LGA),4.99,0.016,0.016,mag,181999994000000.0,10.335,0.15343,0.15343,,,1880969937990000.0,27924259079420.0,27924259079420.0,,,1.3m,256x256 NICMOS3,1.65,microns,flux integrated from map or image,2003AJ....125..525J
71,H_Kron (2MASS LGA),4.929,0.017,0.017,mag,181999994000000.0,10.932,0.17252,0.17252,,,1989623934408000.0,31398638964880.0,31398638964880.0,,,1.3m,256x256 NICMOS3,1.65,microns,flux integrated from map or image,2003AJ....125..525J
72,H_tot (2MASS LGA),4.871,0.019,0.019,mag,181999994000000.0,11.532,0.20358,0.20358,,,2098823930808000.0,37051558778520.0,37051558778520.0,,,1.3m,256x256 NICMOS3,1.65,microns,total flux; beam filling or dilution corrected,2003AJ....125..525J
