No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
1,100-150 keV INTEGRAL,1.5e-11,3e-12,3e-12,erg/cm^2/s,3.02000000071002e+19,4.9668874160508e-08,9.9337748321016e-09,9.9337748321016e-09,,,1500000000000.0,300000000000.0,300000000000.0,,,INTEGRAL,IBIS,125.0,keV,not reported in paper,2015MNRAS.448.3766K
2,14-195 keV (Swift),2.721e-10,,,erg/cm^2/s,2.53000000496374e+19,1.07549406903618e-06,,,,,27210000000000.0,,,,,Swift,BAT,104.5,keV,modelled datum,2017ApJS..233...17R
3,14-195 keV (Swift),6.173e-10,,,erg/cm^2/s,2.53000000496374e+19,2.43992094382959e-06,,,,,61730000000000.0,,,,,Swift,BAT,104.5,keV,modelled datum,2017ApJS..233...17R
4,14-195 keV (Swift),2.7317e-10,2.7127e-10,2.7127e-10,erg/cm^2/s,2.53000000496374e+19,1.0798418951146e-06,1.07233201370641e-06,1.07233201370641e-06,,,27320000000000.0,27130000000000.0,27130000000000.0,,,Swift,BAT,104.5,keV,from fitting to map,2018ApJS..235....4O
5,14-195 keV (Swift),2.748e-10,5.7e-12,5.7e-12,erg/cm^2/s,2.5300000049637e+19,1.08616600577415e-06,2.2529644224573e-08,2.2529644224573e-08,,,27480000000000.0,570000000000.0,570000000000.0,,,Swift,BAT,104.5,keV,flux integrated from map or image,2010ApJS..186..378T
6,15-150 keV (Swift),2.4e-10,3.1e-12,3.1e-12,erg/cm^2/s,1.9899999378467e+19,1.20603018842149e-06,1.55778899337775e-08,1.55778899337775e-08,,,24000000000000.0,310000000000.0,310000000000.0,,,Swift,BAT,82.5,keV,modelled datum,2010A&A...524A..64C
7,14-150 keV (Swift),5.402e-10,,,erg/cm^2/s,1.98000009949437e+19,2.72828269118749e-06,,,,,54020000000000.0,,,,,Swift,BAT,82.0,keV,modelled datum,2017ApJS..233...17R
8,40-100 keV INTEGRAL,1.08e-10,3.77e-12,3.77e-12,erg/cm^2/s,1.68999995e+19,6.40828421326285e-07,2.22958586478065e-08,2.22958586478065e-08,,,10830000000000.0,376800000000.0,376800000000.0,,,INTEGRAL,IBIS/ISGRI,70.0,keV,flux integrated from map or image,2006ApJ...636..765B
9,40-100 keV INTEGRAL,11.7,0.3,0.3,mCrab,1.68999995e+19,6.52071025209202e-07,1.67218939858549e-08,1.67218939858549e-08,,,11020000000000.0,282600000000.0,282600000000.0,,,INTEGRAL,IBIS,70.0,keV,flux integrated from map or image,2007ApJS..170..175B
10,40-100 keV INTEGRAL,9.39e-11,1.5e-12,1.5e-12,erg/cm^2/s,1.68999995e+19,5.55621318213648e-07,8.87573990756627e-09,8.87573990756627e-09,,,9390000000000.0,150000000000.0,150000000000.0,,,INTEGRAL,JEM-X,70.0,keV,flux integrated from map or image,2006ApJ...638..642B
11,40-100 keV INTEGRAL,1.011e-10,,,erg/cm^2/s,1.6899999494266e+19,5.98224869972938e-07,,,,,10110000000000.0,,,,,INTEGRAL,"IBI/ISGRI, JEM-X, OMC",70.0,keV,modelled datum,2009A&A...505..417B
12,20-100 keV (RXTE),2.062e-10,,,erg/cm^2/s,1.4499999806808e+19,1.4220689844643e-06,,,,,20620000000000.0,,,,,RXTE,"PCA, HEXTE",60.0,keV,modelled datum,2011ApJS..193....3R
13,20-100 keV INTEGRAL,2.1695e-10,,,erg/cm^2/s,1.4499999806808e+19,1.49655174407737e-06,,,,,21700000000000.0,,,,,INTEGRAL,IBIS,60.0,keV,flux integrated from map or image,2009MNRAS.399..944M
14,20-100 keV INTEGRAL,1.8e-10,,,erg/cm^2/s,1.44999998e+19,1.2413793274673e-06,,,,,18000000000000.0,,,,,INTEGRAL,IBIS/ISGRI,60.0,keV,almost certainly an error for I,2005A&A...444..431S
15,20-100 keV BeppoSAX,1.9e-10,,,erg/cm^2/s,1.44999998e+19,1.31034484565993e-06,,,,,19000000000000.0,,,,,BeppoSAX,PDS,60.0,keV,almost certainly an error for I,2005A&A...444..431S
16,17-60 keV (INTEGRAL),1.876e-10,2.6e-12,2.6e-12,erg/cm^2/s,9.31000036e+18,2.01503751606729e-06,2.79269591779049e-08,2.79269591779049e-08,,,18760000000000.0,260000000000.0,260000000000.0,,,INTEGRAL,IBIS/ISGRI,38.5,keV,flux integrated from map or image,2007A&A...462...57S
17,20-50 keV (Swift),2.369e-10,,,erg/cm^2/s,8.45999980538757e+18,2.80023647103556e-06,,,,,23690000000000.0,,,,,Swift,BAT,35.0,keV,modelled datum,2017ApJS..233...17R
