No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
1,0.3-8 keV (Chandra),3.5e-14,,,erg/cm^2/s,9.99999984306749e+17,3.50000005492638e-09,,,,,3500000000.0,,,,,Chandra,"ACIS-I, ACIS-S",4.15,keV,flux integrated from map or image,2016ApJS..224...40W
2,2-7 keV Chandra,1.206e-14,4.6763e-15,4.6763e-15,erg/cm^2/s,9.18835911992269e+17,1.31252081552756e-09,5.08936642755583e-10,5.08936642755583e-10,,,1205991260.5441,467629264.29261,467629264.29261,,,Chandra,"ACIS, HRC-I",3.8,keV,flux in fixed aperture,2020CSC...C2..0000:
3,2-7 keV Chandra,9.4898e-15,3.223e-15,3.223e-15,erg/cm^2/s,9.18835911992269e+17,1.03281007168548e-09,3.5076568472337e-10,3.5076568472337e-10,,,948982984.13193,322296107.81839,322296107.81839,,,Chandra,"ACIS, HRC-I",3.8,keV,from fitting to map,2020CSC...C2..0000:
4,2-7 keV Chandra,1.3302e-14,3.4153e-15,3.4153e-15,erg/cm^2/s,9.18835911992269e+17,1.4476857659462e-09,3.71703102067286e-10,3.71703102067286e-10,,,1330185671.0314,341534158.77835,341534158.77835,,,Chandra,"ACIS, HRC-I",3.8,keV,flux in fixed aperture,2020CSC...C2..0000:
5,2-7 keV Chandra,8.8992e-15,4.5699e-15,4.5699e-15,erg/cm^2/s,9.18835911992269e+17,9.68530640497221e-10,4.97353572147216e-10,4.97353572147216e-10,,,889920734.35372,456986323.0465,456986323.0465,,,Chandra,"ACIS, HRC-I",3.8,keV,from fitting to map,2020CSC...C2..0000:
6,0.5-7 keV Chandra,1.0948e-14,2.7736e-15,2.7736e-15,erg/cm^2/s,5.56137525679531e+17,1.96865919244675e-09,4.98726995419882e-10,4.98726995419882e-10,,,1094845252.1936,277360797.2224,277360797.2224,,,Chandra,"ACIS, HRC-I",2.3,keV,from fitting to map,2020CSC...C2..0000:
7,0.5-7 keV Chandra,1.1851e-14,3.8094e-15,3.8094e-15,erg/cm^2/s,5.56137525679531e+17,2.13103425968064e-09,6.84975297754486e-10,6.84975297754486e-10,,,1185148120.3171,380940467.24478,380940467.24478,,,Chandra,"ACIS, HRC-I",2.3,keV,from fitting to map,2020CSC...C2..0000:
8,0.5-7 keV Chandra,1.7255e-14,3.2866e-15,3.2866e-15,erg/cm^2/s,5.56137525679531e+17,3.10256330145787e-09,5.90964438372903e-10,5.90964438372903e-10,,,1725451877.7369,328657500.5213,328657500.5213,,,Chandra,"ACIS, HRC-I",2.3,keV,flux in fixed aperture,2020CSC...C2..0000:
9,0.5-7 keV Chandra,1.5516e-14,4.0043e-15,4.0043e-15,erg/cm^2/s,5.56137525679531e+17,2.79004486719427e-09,7.20011578630897e-10,7.20011578630897e-10,,,1551648648.9763,400425457.8004,400425457.8004,,,Chandra,"ACIS, HRC-I",2.3,keV,flux in fixed aperture,2020CSC...C2..0000:
10,1.2-2 keV Chandra,1.92e-15,8.5332e-16,8.5332e-16,erg/cm^2/s,3.77206321765247e+17,5.08997391576323e-10,2.26221062922816e-10,2.26221062922816e-10,,,191997033.86461,85332015.05094,85332015.05094,,,Chandra,"ACIS, HRC-I",1.56,keV,from fitting to map,2020CSC...C2..0000:
11,1.2-2 keV Chandra,3.944e-15,1.4198e-15,1.4198e-15,erg/cm^2/s,3.77206321765247e+17,1.04558696426916e-09,3.76411307136903e-10,3.76411307136903e-10,,,394402012.87766,141984724.63596,141984724.63596,,,Chandra,"ACIS, HRC-I",1.56,keV,flux in fixed aperture,2020CSC...C2..0000:
12,1.2-2 keV Chandra,4.3801e-15,1.1838e-15,1.1838e-15,erg/cm^2/s,3.77206321765247e+17,1.16118971552246e-09,3.13835058249299e-10,3.13835058249299e-10,,,438008101.46386,118380567.9632,118380567.9632,,,Chandra,"ACIS, HRC-I",1.56,keV,flux in fixed aperture,2020CSC...C2..0000:
13,1.2-2 keV Chandra,2.2795e-15,1.1706e-15,1.1706e-15,erg/cm^2/s,3.77206321765247e+17,6.04317021660085e-10,3.10324957068693e-10,3.10324957068693e-10,,,227952200.92053,117056535.60784,117056535.60784,,,Chandra,"ACIS, HRC-I",1.56,keV,from fitting to map,2020CSC...C2..0000:
14,0.5-1.2 keV Chandra,4.5718e-16,3.4683e-16,3.4683e-16,erg/cm^2/s,2.22455010271813e+17,2.05516976323338e-10,1.55909430314255e-10,1.55909430314255e-10,,,45718281.07904,34682833.92203,34682833.92203,,,Chandra,"ACIS, HRC-I",0.92,keV,flux in fixed aperture,2020CSC...C2..0000:
15,0.5-1.2 keV Chandra,1.086e-15,8.2743e-16,8.2743e-16,erg/cm^2/s,2.22455010271813e+17,4.88187620019547e-10,3.71952472395873e-10,3.71952472395873e-10,,,108599782.02602,82742691.06745,82742691.06745,,,Chandra,"ACIS, HRC-I",0.92,keV,from fitting to map,2020CSC...C2..0000:
16,0.5-1.2 keV Chandra,5.3106e-16,4.2485e-16,4.2485e-16,erg/cm^2/s,2.22455010271813e+17,2.38728994090061e-10,1.90983195272048e-10,1.90983195272048e-10,,,53106460.832484,42485168.665987,42485168.665987,,,Chandra,"ACIS, HRC-I",0.92,keV,from fitting to map,2020CSC...C2..0000:
17,0.5-1.2 keV Chandra,9.8697e-16,7.5198e-16,7.5198e-16,erg/cm^2/s,2.22455010271813e+17,4.4367133359703e-10,3.38035301788221e-10,3.38035301788221e-10,,,98696911.072636,75197646.531534,75197646.531534,,,Chandra,"ACIS, HRC-I",0.92,keV,flux in fixed aperture,2020CSC...C2..0000:
18,I (Cousins),9.29,0.06,0.06,mag,378999994000000.0,0.4904,0.0271,0.0271,,,185861597057600.0,10270899837400.0,10270899837400.0,,,"0.61m, UH 2.24m",CCD,7900.0,A,total flux; beam filling or dilution corrected,2007ApJ...655..814F
19,J (2MASS/FLWO),11.495,0.01,0.01,mag,242746929554656.0,0.0402242835133404,0.000370479342376735,0.000370479342376735,,,9764321316399.35,89932722825.3805,89932722825.3805,,,1.3m,256x256 NICMOS3,1.235,microns,flux in fixed aperture,2006AJ....131.1163S
20,J (2MASS/FLWO),12.06,0.071,0.071,mag,242746929554656.0,0.0239049762779078,0.00156322807353518,0.00156322807353518,,,5802859592539.0,379468815044.305,379468815044.305,,,1.3m,256x256 NICMOS3,1.235,microns,flux in fixed aperture,2006AJ....131.1163S
21,J_Kron (2MASS LGA),6.94,0.02,0.02,mag,240000004000000.0,2.6665,0.049574,0.049574,,,639960010666000.0,11897760198296.0,11897760198296.0,,,1.3m,256x256 NICMOS3,1.25,microns,flux integrated from map or image,2003AJ....125..525J
22,J_14arcsec (2MASS),10.683,0.015,0.015,mag,240000004000000.0,0.084868,0.0011807,0.0011807,,,20368320339472.0,283368004722.8,283368004722.8,,,1.3m,256x256 NICMOS3,1.25,microns,flux in fixed aperture,20032MASX.C.......:
23,J_20 (2MASS LGA),7.024,0.017,0.017,mag,240000004000000.0,2.468,0.038948,0.038948,,,592320009872000.0,9347520155792.0,9347520155792.0,,,1.3m,256x256 NICMOS3,1.25,microns,flux integrated from map or image,2003AJ....125..525J
24,J_tot (2MASS LGA),6.91,0.028,0.028,mag,240000004000000.0,2.7412,0.071612,0.071612,,,657888010964800.0,17186880286448.0,17186880286448.0,,,1.3m,256x256 NICMOS3,1.25,microns,total flux; beam filling or dilution corrected,2003AJ....125..525J
25,H_tot (2MASS LGA),5.742,0.023,0.023,mag,181999994000000.0,5.1701,0.11069,0.11069,,,940958168979400.0,20145579335860.0,20145579335860.0,,,1.3m,256x256 NICMOS3,1.65,microns,total flux; beam filling or dilution corrected,2003AJ....125..525J
26,H_14arcsec (2MASS),9.321,0.015,0.015,mag,181999994000000.0,0.19138,0.0026624,0.0026624,,,34831158851720.0,484556784025.6,484556784025.6,,,1.3m,256x256 NICMOS3,1.65,microns,flux in fixed aperture,20032MASX.C.......:
27,H_20 (2MASS LGA),5.852,0.016,0.016,mag,181999994000000.0,4.672,0.069357,0.069357,,,850303971968000.0,12622973583858.0,12622973583858.0,,,1.3m,256x256 NICMOS3,1.65,microns,flux integrated from map or image,2003AJ....125..525J
28,H_Kron (2MASS LGA),5.776,0.018,0.018,mag,181999994000000.0,5.0107,0.083763,0.083763,,,911947369935800.0,15244865497422.0,15244865497422.0,,,1.3m,256x256 NICMOS3,1.65,microns,flux integrated from map or image,2003AJ....125..525J
29,H (2MASS/FLWO),10.694,0.093,0.093,mag,180380540312876.0,0.0540380858127167,0.00462869521948215,0.00462869521948215,,,9747419116371.4,834926544633.817,834926544633.817,,,1.3m,256x256 NICMOS3,1.662,microns,flux in fixed aperture,2006AJ....131.1163S
30,H (2MASS/FLWO),10.01,0.005,0.005,mag,180380540312876.0,0.101461191157019,0.000467246052551144,0.000467246052551144,,,18301624481691.1,84282095418.2339,84282095418.2339,,,1.3m,256x256 NICMOS3,1.662,microns,flux in fixed aperture,2006AJ....131.1163S
31,K_s (2MASS/FLWO),9.232,0.006,0.006,mag,138857090319592.0,0.135268162687312,0.000747519491905198,0.000747519491905198,,,18782943483637.4,103798381603.136,103798381603.136,,,1.3m,256x256 NICMOS3,2.159,microns,flux in fixed aperture,2006AJ....131.1163S
32,K_s (2MASS/FLWO),9.901,0.066,0.066,mag,138857090319592.0,0.0730458574058309,0.00444032958250556,0.00444032958250556,,,10142935219273.5,616571245886.733,616571245886.733,,,1.3m,256x256 NICMOS3,2.159,microns,flux in fixed aperture,2006AJ....131.1163S
33,K_s_14arcsec (2MASS),8.609,0.015,0.015,mag,138000000000000.0,0.2401,0.0033403,0.0033403,,,33133800000000.0,460961400000.0,460961400000.0,,,1.3m,256x256 NICMOS3,2.17,microns,flux in fixed aperture,20032MASX.C.......:
34,K_Kron (2MASS LGA),5.254,0.019,0.019,mag,138000000000000.0,5.2771,0.093161,0.093161,,,728239800000000.0,12856218000000.0,12856218000000.0,,,1.3m,256x256 NICMOS3,2.17,microns,flux integrated from map or image,2003AJ....125..525J
35,K_20 (2MASS LGA),5.331,0.017,0.017,mag,138000000000000.0,4.9158,0.077578,0.077578,,,678380400000000.0,10705764000000.0,10705764000000.0,,,1.3m,256x256 NICMOS3,2.17,microns,flux integrated from map or image,2003AJ....125..525J
36,K_tot (2MASS LGA),5.215,0.026,0.026,mag,138000000000000.0,5.4701,0.13257,0.13257,,,754873800000000.0,18294660000000.0,18294660000000.0,,,1.3m,256x256 NICMOS3,2.17,microns,total flux; beam filling or dilution corrected,2003AJ....125..525J
37,10 microns,0.18,0.023,0.023,Jy,29979201000000.0,0.18,0.023,0.023,,,5396256180000.0,689521623000.0,689521623000.0,,,"61in, 90in",?,10.0,microns,flux in fixed aperture,1978ApJ...220L..37R
38,10 microns (IRTF),1060.0,,,mJy,29700000800000.0,1.06,,,,,31482000848000.0,,,,,IRTF,Bolometer,10.1,microns,flux in fixed aperture,1989ApJ...344..135H
39,12 microns (IRAS),13.0,,,Jy,25000000100000.0,13.0,,,,,325000001300000.0,,,,,IRAS,Survey array,12.0,A,flux in fixed aperture,1986A&A...166L...8C
40,12 microns (IRAS),3.624,6.0,6.0,Jy,24979999600000.0,3.624,0.21744,0.21744,,,90527518550400.0,5431651113024.0,5431651113024.0,,,IRAS,Survey array,12.0,microns,integrated from scans,1988IRASP.C2..0000:
41,25 microns (IRAS),25.0,,,Jy,12000000200000.0,25.0,,,,,300000005000000.0,,,,,IRAS,Survey array,25.0,A,flux in fixed aperture,1986A&A...166L...8C
42,25 microns (IRAS),9.238,7.0,7.0,Jy,11989999900000.0,9.238,0.64666,0.64666,,,110763619076200.0,7753453335334.0,7753453335334.0,,,IRAS,Survey array,25.0,microns,integrated from scans,1988IRASP.C2..0000:
43,60 microns (IRAS),135.0,,,Jy,4999999910000.0,135.0,,,,,674999987850000.0,,,,,IRAS,Survey array,60.0,A,flux in fixed aperture,1986A&A...166L...8C
44,60 microns (ISO),94.8,20.0,20.0,Jy,4999999910000.0,94.8,18.96,18.96,,,473999991468000.0,94799998293600.0,94799998293600.0,,,ISO,LWS,60.0,microns,modelled datum,2001A&A...375..566N
45,100 microns (IRAS),225.0,,,Jy,3000000050000.0,225.0,,,,,675000011250000.0,,,,,IRAS,Survey array,100.0,A,flux in fixed aperture,1986A&A...166L...8C
