No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
1,2-10 keV (XMM),1.11e-13,,,erg/cm^2/s,1.45000006314413e+18,7.65517208042815e-09,,,,,11100000000.0,,,,,XMM-Newton,"EPIC (MOS1, MOS2, pn)",6.0,keV,from fitting to map,2014A&A...569A..71C
2,2-10 keV (Suzaku),9.8e-14,2.4e-14,2.4e-14,erg/cm^2/s,1.4500000631441e+18,6.7586203953331e-09,1.65517234171423e-09,1.65517234171423e-09,,,9800000000.0,2400000000.0,2400000000.0,,,Suzaku,XIS,6.0,keV,modelled datum,2009ApJ...691..261T
3,2-10 keV,1.07e-13,1.8e-14,1.8e-14,erg/cm^2/s,1.4500000631441e+18,7.37931002347594e-09,1.24137925628567e-09,1.24137925628567e-09,,,10700000000.0,1800000000.0,1800000000.0,,,"Chandra, XMM-Newton","EPIC (MOS1, MOS2, pn)",6.0,keV,modelled datum,2011ApJ...729...52L
4,2-10 keV (ASCA),1.1e-13,,,erg/cm^2/s,1.45000006e+18,7.58620658263973e-09,,,,,11000000000.0,,,,,ASCA,GIS,6.0,keV,flux integrated from map or image,2001ApJS..133....1U
5,2-7 keV (Chandra),6.6e-14,,,erg/cm^2/s,1.090000027562e+18,6.0550457184503e-09,,,,,6600000000.0,,,,,Chandra,ACIS-S,4.5,keV,modelled datum,2011A&A...529A.106I
6,0.7-7 keV (ASCA),2.1e-13,,,erg/cm^2/s,9.30999995e+17,2.25563910985843e-08,,,,,21000000000.0,,,,,ASCA,GIS,3.85,keV,flux integrated from map or image,2001ApJS..133....1U
7,EO IPC (0.1-4.5 keV),45.69,,,nJy,3.86999987e+17,4.569e-08,,,,,17682029406.03,,,,,Einstein,IPC,1.6,keV,integrated from scans,1996MNRAS.278.1049R
8,0.7-2 keV (ASCA),1.4e-13,,,erg/cm^2/s,3.26000009e+17,4.29447840904814e-08,,,,,14000000000.0,,,,,ASCA,GIS,1.35,keV,flux integrated from map or image,2001ApJS..133....1U
9,0.5-2 keV (Chandra),2.7e-14,,,erg/cm^2/s,3.0200000694295e+17,8.94039714545454e-09,,,,,2700000000.0,,,,,Chandra,ACIS-S,1.25,keV,modelled datum,2011A&A...529A.106I
10,0.5-2 keV (Suzaku),6.6e-14,1e-14,1e-14,erg/cm^2/s,3.0200000694295e+17,2.18543041333333e-08,3.3112582020202e-09,3.3112582020202e-09,,,6600000000.0,1000000000.0,1000000000.0,,,Suzaku,XIS,1.25,keV,modelled datum,2009ApJ...691..261T
11,FUV (GALEX) AB,18.57,0.12,0.12,mag,1960000004030460.0,0.0001361,1.454e-05,1.454e-05,,,266756000548.546,28498400058.6029,28498400058.6029,,,GALEX,FUV detector,1531.0,A,flux in fixed aperture,2014ApJS..212...18B
12,FUV (GALEX) AB,18.97,0.12,0.12,mag,1960000004030460.0,9.415e-05,1.006e-05,1.006e-05,,,184534000379.468,19717600040.5464,19717600040.5464,,,GALEX,FUV detector,1531.0,A,flux in fixed aperture,2014ApJS..212...18B
13,UVW2 (Swift) AB,17.55,0.1,0.1,mag,1479999961956350.0,0.0003457,3.184e-05,3.184e-05,,,511635986848.31,47123198788.6902,47123198788.6902,,,Swift,UVOT,2026.0,A,flux in fixed aperture,2014ApJS..212...18B
14,UVW2 (Swift) AB,17.96,0.1,0.1,mag,1479999961956350.0,0.0002378,2.19e-05,2.19e-05,,,351943990953.22,32411999166.8441,32411999166.8441,,,Swift,UVOT,2026.0,A,flux in fixed aperture,2014ApJS..212...18B
15,NUV (GALEX) AB,17.26,0.1,0.1,mag,1310000056107010.0,0.0004531,4.174e-05,4.174e-05,,,593561025422.086,54679402341.9066,54679402341.9066,,,GALEX,NUV detector,2286.0,A,flux in fixed aperture,2014ApJS..212...18B
16,NUV (GALEX) AB,17.66,0.1,0.1,mag,1310000056107010.0,0.0003127,2.88e-05,2.88e-05,,,409637017544.662,37728001615.8819,37728001615.8819,,,GALEX,NUV detector,2286.0,A,flux in fixed aperture,2014ApJS..212...18B
17,u (SDSS) AB,15.26,0.05,0.05,mag,843999996805120.0,0.002855,0.0001315,0.0001315,,,2409619990878.62,110985999579.873,110985999579.873,,,2.5m,Imaging camera,3551.0,A,flux in fixed aperture,2014ApJS..212...18B
18,u (SDSS) AB,15.48,0.05,0.05,mag,843999996805120.0,0.002323,0.000107,0.000107,,,1960611992578.29,90307999658.1478,90307999658.1478,,,2.5m,Imaging camera,3551.0,A,flux in fixed aperture,2014ApJS..212...18B
19,U (U_T),14.27,0.15,0.15,mag,818999999000000.0,0.003546,0.0005088,0.0005088,,,2904173996454.0,416707199491.2,416707199491.2,,,Literature compilation,Literature compilation,3660.0,A,from multi-aperture data,1991RC3.9.C...0000d
20,U (U_T^0),13.87,,,mag,818999999000000.0,0.005125,,,,,4197374994875.0,,,,,Literature compilation,Literature compilation,3660.0,A,from multi-aperture data,1991RC3.9.C...0000d
21,U_T (VATT),14.341,0.023,0.023,mag,818999999000000.0,0.003321,6.982e-05,6.982e-05,,,2719898996679.0,57182579930.18,57182579930.18,,,VATT,CCD,3660.0,A,total flux; beam filling or dilution corrected,2005ApJ...630..784T
22,103a-O (POSS-I O),14.43,,,mag,739999981000000.0,0.006441,,,,,4766339877621.0,,,,,Oschin Schmidt,Photographic plates,4050.0,A,flux integrated from map or image,2006ApJ...639...37K
23,B (UH),14.0,0.07,0.07,mag,681000015000000.0,0.0107,0.0006899,0.0006899,,,7286700160500.0,469821910348.5,469821910348.5,,,2.2m,"Tektronix, Orbit 2048",4400.0,A,flux in fixed aperture,2000ApJ...529..170S
24,B (B_T^0),13.61,,,mag,681000015000000.0,0.01533,,,,,10439730229950.0,,,,,Literature compilation,Literature compilation,4400.0,A,multiple methods,1991RC3.9.C...0000d
25,B (B_T),13.94,0.14,0.14,mag,681000015000000.0,0.01131,0.001556,0.001556,,,7702110169650.0,1059636023340.0,1059636023340.0,,,Literature compilation,Literature compilation,4400.0,A,from multi-aperture data,1991RC3.9.C...0000d
26,B (m_B),13.9,0.2,0.2,mag,681000015000000.0,0.01173,0.002373,0.002373,,,7988130175950.0,1616013035595.0,1616013035595.0,,,Literature compilation,Literature compilation,4400.0,A,multiple methods,1991RC3.9.C...0000d
27,m_p,14.4,0.4,0.4,mag,681000015000000.0,0.007403,0.0032976,0.0032976,,,5041443111045.0,2245665649464.0,2245665649464.0,,,Oschin Schmidt,Photographic plates,4400.0,A,estimated by eye,1963CGCG2.C...0000Z
28,B_T (VATT),14.011,0.011,0.011,mag,681000015000000.0,0.01059,0.0001073,0.0001073,,,7211790158850.0,73071301609.5,73071301609.5,,,VATT,CCD,4400.0,A,total flux; beam filling or dilution corrected,2005ApJ...630..784T
29,B (UH),17.6,0.1,0.1,mag,681000015000000.0,0.0003885,3.578e-05,3.578e-05,,,264568505827.5,24366180536.7,24366180536.7,,,2.2m,"Tektronix, Orbit 2048",4400.0,A,flux in fixed aperture,2000ApJ...529..170S
30,g (SDSS) AB,13.68,0.05,0.05,mag,639999988989952.0,0.01227,0.000565,0.000565,,,7852799864906.71,361599993779.323,361599993779.323,,,2.5m,Imaging camera,4681.0,A,flux in fixed aperture,2014ApJS..212...18B
31,g (SDSS) AB,13.85,0.05,0.05,mag,639999988989952.0,0.01045,0.0004813,0.0004813,,,6687999884945.0,308031994700.864,308031994700.864,,,2.5m,Imaging camera,4681.0,A,flux in fixed aperture,2014ApJS..212...18B
32,V (V_T),13.2,0.14,0.14,mag,542000009000000.0,0.0191,0.002693,0.002693,,,10352200171900.0,1459606024237.0,1459606024237.0,,,Literature compilation,Literature compilation,5530.0,A,from multi-aperture data,1991RC3.9.C...0000d
33,V_T (VATT),13.187,0.018,0.018,mag,542000009000000.0,0.01933,0.000317,0.000317,,,10476860173970.0,171814002853.0,171814002853.0,,,VATT,CCD,5530.0,A,total flux; beam filling or dilution corrected,2005ApJ...630..784T
34,V (V_T^0),12.96,,,mag,542000009000000.0,0.02383,,,,,12915860214470.0,,,,,Literature compilation,Literature compilation,5530.0,A,from multi-aperture data,1991RC3.9.C...0000d
35,r (SDSS) AB,13.03,0.05,0.05,mag,486000010723328.0,0.02234,0.001029,0.001029,,,10857240239559.1,500094011034.305,500094011034.305,,,2.5m,Imaging camera,6165.0,A,flux in fixed aperture,2014ApJS..212...18B
36,r (SDSS) AB,13.15,0.05,0.05,mag,486000010723328.0,0.02003,0.0009224,0.0009224,,,9734580214788.26,448286409891.198,448286409891.198,,,2.5m,Imaging camera,6165.0,A,flux in fixed aperture,2014ApJS..212...18B
37,R_T (VATT),12.471,0.02,0.02,mag,433000014000000.0,0.02968,0.0005583,0.0005583,,,12851440415520.0,241743907816.2,241743907816.2,,,VATT,CCD,6930.0,A,total flux; beam filling or dilution corrected,2005ApJ...630..784T
38,i (SDSS) AB,12.64,0.05,0.05,mag,400999990689792.0,0.0319,0.001469,0.001469,,,12791899703004.4,589068986323.305,589068986323.305,,,2.5m,Imaging camera,7480.0,A,flux in fixed aperture,2014ApJS..212...18B
39,i (SDSS) AB,12.73,0.05,0.05,mag,400999990689792.0,0.02936,0.001352,0.001352,,,11773359726652.3,542151987412.599,542151987412.599,,,2.5m,Imaging camera,7480.0,A,flux in fixed aperture,2014ApJS..212...18B
40,I (UH),12.25,0.07,0.07,mag,378999994000000.0,0.0321,0.00207,0.00207,,,12165899807400.0,784529987580.0,784529987580.0,,,2.2m,QUIRC,7900.0,A,flux in fixed aperture,2000ApJ...529..170S
41,I (UH),14.7,0.1,0.1,mag,378999994000000.0,0.003362,0.0003096,0.0003096,,,1274197979828.0,117338398142.4,117338398142.4,,,2.2m,QUIRC,7900.0,A,flux in fixed aperture,2000ApJ...529..170S
42,z (SDSS) AB,12.41,0.05,0.05,mag,335999989186560.0,0.03954,0.001821,0.001821,,,13285439572436.6,611855980308.726,611855980308.726,,,2.5m,Imaging camera,8931.0,A,flux in fixed aperture,2014ApJS..212...18B
43,z (SDSS) AB,12.48,0.05,0.05,mag,335999989186560.0,0.03714,0.00171,0.00171,,,12479039598388.8,574559981509.018,574559981509.018,,,2.5m,Imaging camera,8931.0,A,flux in fixed aperture,2014ApJS..212...18B
44,J (ESO/SPM),27.8,1.85,1.85,mJy,249999997000000.0,0.0278,0.0018513,0.0018513,,,6949999916600.0,462824994446.1,462824994446.1,,,"1.0m, 2.1m",InSb detector,1.198,microns,flux in fixed aperture,1995ApJ...453..616S
