No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
1,2-10 keV (XMM),1.5e-13,,,erg/cm^2/s,1.45000006314413e+18,1.03448271357137e-08,,,,,15000000000.0,,,,,XMM-Newton,EPIC pn,6.0,keV,modelled datum,2011MNRAS.413.1206B
2,2-10 keV (Chandra),1.3e-14,,,erg/cm^2/s,1.45000006e+18,8.96551687039241e-10,,,,,1300000000.0,,,,,Chandra,ACIS-S,6.0,keV,flux integrated from map or image,2004A&A...418..429F
3,0.3-8 keV (Chandra),2.81e-14,,,erg/cm^2/s,9.9999998430675e+17,2.81000004409803e-09,,,,,2810000000.0,,,,,Chandra,"ACIS-S, ACIS-I",4.15,keV,flux integrated from map or image,2011ApJS..192...10L
4,0.3-8 keV (Chandra),6.68e-14,,,erg/cm^2/s,9.99999984306749e+17,6.68000010483092e-09,,,,,6680000000.0,,,,,Chandra,"ACIS-I, ACIS-S",4.15,keV,flux integrated from map or image,2016ApJS..224...40W
5,0.2-2 keV (ROSAT),1.4205e-13,12.7,12.7,erg/cm^2/s,3.15000014e+17,4.50952360910054e-08,5.71428546031747e-09,5.71428546031747e-09,,,14205000000.0,1800000000.0,1800000000.0,,,ROSAT,PSPC,1.3,keV,flux integrated from map or image,2000WGA...C...0000W
6,0.5-2 keV (Chandra),7.12e-15,,,erg/cm^2/s,3.02000007e+17,2.35761583939301e-09,,,,,712000000.0,,,,,Chandra,ACIS-S,1.25,keV,flux integrated from map or image,2004A&A...418..429F
7,FUV (GALEX) AB,15.2,0.01,0.01,mag,1980000060000000.0,0.00302,2.782e-05,2.782e-05,,,5979600181200.0,55083601669.2,55083601669.2,,,GALEX,FUV detector,1516.0,A,total flux; beam filling or dilution corrected,2007ApJS..173..185G
8,FUV (GALEX) AB,16.52,0.1,0.1,mag,1960000004030460.0,0.0008916,8.212e-05,8.212e-05,,,1747536003593.56,160955200330.981,160955200330.981,,,GALEX,FUV detector,1531.0,A,flux in fixed aperture,2014ApJS..212...18B
9,FUV (GALEX) AB,15.9,0.1,0.1,mag,1960000004030460.0,0.001589,0.0001463,0.0001463,,,3114440006404.4,286748000589.656,286748000589.656,,,GALEX,FUV detector,1531.0,A,flux in fixed aperture,2014ApJS..212...18B
10,FUV (GALEX),14.64,0.15,0.15,mag,1949999977988100.0,0.0007255,0.0001002,0.0001002,,,1414724984030.37,195389997794.408,195389997794.408,,,GALEX,FUV detector,1539.0,A,flux in fixed aperture,2015ApJS..220....6B
11,FUV (GALEX),15.63,0.01,0.01,mag,1949999977988100.0,0.0002915,2.685e-06,2.685e-06,,,568424993583.531,5235749940.89805,5235749940.89805,,,GALEX,FUV detector,1539.0,A,flux in fixed aperture,2015ApJS..220....6B
12,FUV (GALEX) AB,22.0203,0.12353,0.12353,mag,1948500000000000.0,5.64815035111135e-06,6.42464100251183e-07,6.42464100251183e-07,,,11005420959.1405,1251841299.33943,1251841299.33943,,,GALEX,FUV detector,1538.6,A,flux in fixed aperture,2012GMSC..C...0000S
13,FUV (GALEX) AB,15.2145,0.00570651,0.00570651,mag,1948500000000000.0,0.00298006851377687,1.56591075272126e-05,1.56591075272126e-05,,,5806663499094.23,30511771016.7737,30511771016.7737,,,GALEX,FUV detector,1538.6,A,flux integrated from map or image,2012GMSC..C...0000S
14,NUV (GALEX) AB,14.8,0.01,0.01,mag,1319999950000000.0,0.004365,4.021e-05,4.021e-05,,,5761799781750.0,53077197989.5,53077197989.5,,,GALEX,NUV detector,2267.0,A,total flux; beam filling or dilution corrected,2007ApJS..173..185G
15,NUV (GALEX) AB,16.09,0.1,0.1,mag,1310000056107010.0,0.001325,0.000122,0.000122,,,1735750074341.79,159820006845.055,159820006845.055,,,GALEX,NUV detector,2286.0,A,flux in fixed aperture,2014ApJS..212...18B
16,NUV (GALEX) AB,15.46,0.1,0.1,mag,1310000056107010.0,0.002382,0.0002194,0.0002194,,,3120420133646.9,287414012309.878,287414012309.878,,,GALEX,NUV detector,2286.0,A,flux in fixed aperture,2014ApJS..212...18B
17,NUV (GALEX) AB,21.4732,0.0561252,0.0561252,mag,1294600000000000.0,9.34859291710583e-06,4.83141479918184e-07,4.83141479918184e-07,,,12102688390.4852,625474959.902081,625474959.902081,,,GALEX,NUV detector,2315.7,A,flux in fixed aperture,2012GMSC..C...0000S
