No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
114,8.0 microns (IRAC),141000.0,3.8574,3.8574,uJy,38083391514227.6,0.140997531429,3.85740662857e-06,3.85740662857e-06,,,5369664191950.22,146903126.865408,146903126.865408,,,Spitzer,IRAC,7.872,microns,flux in fixed aperture,2013SSTSLC4.2....0C
115,10 microns,0.083,0.014,0.014,Jy,29979201000000.0,0.083,0.014,0.014,,,2488273683000.0,419708814000.0,419708814000.0,,,"61in, 90in",?,10.0,microns,flux in fixed aperture,1978ApJ...220L..37R
116,10.2 microns,1.9,0.5,0.5,Jy,29391400700000.0,1.9,0.5,0.5,,,55843661330000.0,14695700350000.0,14695700350000.0,,,Cassegrain,Germanium bolometer,10.2,microns,flux in fixed aperture,1970ApJ...159L.165K
117,10 microns,74.0,16.0,16.0,mJy,28552001000000.0,0.074,0.016,0.016,,,2112848074000.0,456832016000.0,456832016000.0,,,IRTF,Bolometer,10.5,microns,flux in fixed aperture,1983ApJ...271..512S
118,10.5 microns,0.24,0.06,0.06,Jy,28551699000000.0,0.24,0.06,0.06,,,6852407760000.0,1713101940000.0,1713101940000.0,,,61in,?,10.5,microns,flux in fixed aperture,1972ApJ...176L..95R
119,W3 (WISE),5.811,0.008,0.008,mag,25931809044356.8,0.150072646480746,0.00110577612368874,0.00110577612368874,,,3891655211319.97,28674775285.3055,28674775285.3055,,,WISE,1024x1024 pixel detector array,11.5608,microns,flux in fixed aperture,2013wise.rept....1C
120,W3 (WISE),5.66,0.007,0.007,mag,25931809044356.8,0.172465225758656,0.00111192440209685,0.00111192440209685,,,4472335301165.35,28834211266.9361,28834211266.9361,,,WISE,1024x1024 pixel detector array,11.5608,microns,flux in fixed aperture,2013wise.rept....1C
121,W3 (WISE),5.611,0.019,0.019,mag,25931809044356.8,0.180427005472713,0.00315740885213019,0.00315740885213019,,,4678798652363.51,81877323428.4019,81877323428.4019,,,WISE,1024x1024 pixel detector array,11.5608,microns,from fitting to map,2013wise.rept....1C
122,12 microns (IRAS),3.28,0.05,0.05,Jy,25000000100000.0,3.28,0.05,0.05,,,82000000328000.0,1250000005000.0,1250000005000.0,,,IRAS,Survey array,12.0,microns,total flux; beam filling or dilution corrected,2003AJ....126.1607S
123,12 microns (WISE),4176.9,105.27,105.27,mJy,25000000094208.0,4.177,0.1053,0.1053,,,104425000393507.0,2632500009920.1,2632500009920.1,,,WISE,1024x1024 pixel detector array,12.0,microns,flux in fixed aperture,2014A&A...565A.128C
