No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
1,2-10 keV (ASCA),6.5e-13,,,erg/cm^2/s,1.45000006e+18,4.4827584351962e-08,,,,,65000000000.0,,,,,ASCA,GIS,6.0,keV,flux integrated from map or image,2001ApJS..133....1U
2,0.3-8 keV (Chandra),5.94e-13,,,erg/cm^2/s,9.9999998430675e+17,5.94000009321791e-08,,,,,59400000000.0,,,,,Chandra,"ACIS-S, ACIS-I",4.15,keV,flux integrated from map or image,2011ApJS..192...10L
3,0.7-7 keV (ASCA),1.31e-12,,,erg/cm^2/s,9.30999995e+17,1.40708915900692e-07,,,,,131000000000.0,,,,,ASCA,GIS,3.85,keV,flux integrated from map or image,2001ApJS..133....1U
4,0.2-4 keV (EINSTEIN),4.927e-12,,,erg/cm^2/s,5.24599984e+17,9.39191793799216e-07,,,,,492700000000.0,,,,,Einstein,IPC,2.1,keV,flux integrated from map or image,1992ApJS...80..531F
5,0.1-10 keV Chandra,7.6739e-14,1.0912e-14,1.0912e-14,erg/cm^2/s,3.62698386312738e+17,2.11578314317921e-08,3.00846275969433e-09,3.00846275969433e-09,,,7673911318.1879,1091164588.2231,1091164588.2231,,,Chandra,"ACIS, HRC-I",1.5,keV,from fitting to map,2020CSC...C2..0000:
6,0.1-10 keV Chandra,7.6739e-14,1.0912e-14,1.0912e-14,erg/cm^2/s,3.62698386312738e+17,2.11578314317921e-08,3.00846275969433e-09,3.00846275969433e-09,,,7673911318.1879,1091164588.2231,1091164588.2231,,,Chandra,"ACIS, HRC-I",1.5,keV,from fitting to map,2020CSC...C2..0000:
7,0.1-10 keV Chandra,8.2434e-14,1.2521e-14,1.2521e-14,erg/cm^2/s,3.62698386312738e+17,2.27279853303022e-08,3.45229314825056e-09,3.45229314825056e-09,,,8243403603.4402,1252141153.949,1252141153.949,,,Chandra,"ACIS, HRC-I",1.5,keV,flux in fixed aperture,2020CSC...C2..0000:
8,0.1-10 keV Chandra,8.2434e-14,1.2521e-14,1.2521e-14,erg/cm^2/s,3.62698386312738e+17,2.27279853303022e-08,3.45229314825056e-09,3.45229314825056e-09,,,8243403603.4402,1252141153.949,1252141153.949,,,Chandra,"ACIS, HRC-I",1.5,keV,flux in fixed aperture,2020CSC...C2..0000:
9,0.7-2 keV (ASCA),7.9e-13,,,erg/cm^2/s,3.26000009e+17,2.42331281653431e-07,,,,,79000000000.0,,,,,ASCA,GIS,1.35,keV,flux integrated from map or image,2001ApJS..133....1U
10,B (B_T),9.1,0.14,0.14,mag,681000015000000.0,0.9759,0.1343,0.1343,,,664587914638500.0,91458302014500.0,91458302014500.0,,,Literature compilation,Literature compilation,4400.0,A,flux integrated from map or image,1991RC3.9.C...0000d
11,B (m_B),9.1,0.3,0.3,mag,681000015000000.0,0.9759,0.3106,0.3106,,,664587914638500.0,211518604659000.0,211518604659000.0,,,Literature compilation,Literature compilation,4400.0,A,multiple methods,1991RC3.9.C...0000d
12,m_p,10.5,0.4,0.4,mag,681000015000000.0,0.26879,0.11973,0.11973,,,183045994031850.0,81536131795950.0,81536131795950.0,,,Oschin Schmidt,Photographic plates,4400.0,A,estimated by eye,1968CGCG4.C...0000Z
13,B (B_T^0),5.58,,,mag,681000015000000.0,24.97,,,,,1.700457037455e+16,,,,,Literature compilation,Literature compilation,4400.0,A,multiple methods,1991RC3.9.C...0000d
14,J_14arcsec (2MASS),9.944,0.015,0.015,mag,240000004000000.0,0.16763,0.0023319,0.0023319,,,40231200670520.0,559656009327.6,559656009327.6,,,1.3m,256x256 NICMOS3,1.25,microns,flux in fixed aperture,20032MASX.C.......:
15,J_tot (2MASS LGA),5.657,0.033,0.033,mag,240000004000000.0,8.6925,0.26826,0.26826,,,2086200034770000.0,64382401073040.0,64382401073040.0,,,1.3m,256x256 NICMOS3,1.25,microns,total flux; beam filling or dilution corrected,2003AJ....125..525J
16,J_Kron (2MASS LGA),5.647,0.025,0.025,mag,240000004000000.0,8.7729,0.20435,0.20435,,,2105496035091600.0,49044000817400.0,49044000817400.0,,,1.3m,256x256 NICMOS3,1.25,microns,flux integrated from map or image,2003AJ....125..525J
17,J_20 (2MASS LGA),5.982,0.018,0.018,mag,240000004000000.0,6.4438,0.10772,0.10772,,,1546512025775200.0,25852800430880.0,25852800430880.0,,,1.3m,256x256 NICMOS3,1.25,microns,flux integrated from map or image,2003AJ....125..525J
18,1.25 microns,0.049,0.0063,0.0063,Jy,239833994000000.0,0.049,0.0063,0.0063,,,11751865706000.0,1510954162200.0,1510954162200.0,,,1.5m,InSb detector,1.25,microns,flux in fixed aperture,1980ApJ...236..441B
19,1.25 microns,0.174,0.016,0.016,Jy,239833994000000.0,0.174,0.016,0.016,,,41731114956000.0,3837343904000.0,3837343904000.0,,,1.5m,InSb detector,1.25,microns,flux in fixed aperture,1980ApJ...236..441B
20,H_14arcsec (2MASS),9.074,0.015,0.015,mag,181999994000000.0,0.24027,0.0033425,0.0033425,,,43729138558380.0,608334979945.0,608334979945.0,,,1.3m,256x256 NICMOS3,1.65,microns,flux in fixed aperture,20032MASX.C.......:
21,H_Kron (2MASS LGA),5.016,0.029,0.029,mag,181999994000000.0,10.09,0.27314,0.27314,,,1836379939460000.0,49711478361160.0,49711478361160.0,,,1.3m,256x256 NICMOS3,1.65,microns,flux integrated from map or image,2003AJ....125..525J
22,H_tot (2MASS LGA),5.011,0.04,0.04,mag,181999994000000.0,10.137,0.38042,0.38042,,,1844933939178000.0,69236437717480.0,69236437717480.0,,,1.3m,256x256 NICMOS3,1.65,microns,total flux; beam filling or dilution corrected,2003AJ....125..525J
23,H_20 (2MASS LGA),5.281,0.019,0.019,mag,181999994000000.0,7.905,0.13955,0.13955,,,1438709952570000.0,25398099162700.0,25398099162700.0,,,1.3m,256x256 NICMOS3,1.65,microns,flux integrated from map or image,2003AJ....125..525J
24,1.65 microns,0.224,0.015,0.015,Jy,181691998000000.0,0.224,0.015,0.015,,,40699007552000.0,2725379970000.0,2725379970000.0,,,1.5m,InSb detector,1.65,microns,flux in fixed aperture,1980ApJ...236..441B
25,1.65 microns,0.074,0.0049,0.0049,Jy,181691998000000.0,0.0741,0.0049,0.0049,,,13463377051800.0,890290790200.0,890290790200.0,,,1.5m,InSb detector,1.65,microns,flux in fixed aperture,1980ApJ...236..441B
