No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
431,468 MHz,11.2,0.85,0.85,Jy,468000000.0,11.2,0.85,0.85,,,5241600000.0,397800000.0,397800000.0,,,Parkes,?,468.0,MHz,not reported in paper,1981A&AS...45..367K
432,408 MHz,10.1,2.52,2.52,Jy,408000000.0,10.1,2.52,2.52,,,4120800000.0,1028160000.0,1028160000.0,,,Parkes,?,408.0,MHz,not reported in paper,1969AuJPA...7....3E
433,408 MHz,12.36,0.54,0.54,Jy,408000000.0,12.36,0.54,0.54,,,5042880000.0,220320000.0,220320000.0,,,Molonglo Cross,?,408.0,MHz,modelled datum,1981MNRAS.194..693L
434,408 MHz,12.4,,,Jy,408000000.0,12.4,,,,,5059200000.0,,,,,Parkes,?,408.0,MHz,integrated from scans,1990PKS90.C...0000W
435,365 MHz (Texas),11.42,0.179,0.179,Jy,365000000.0,11.42,0.179,0.179,,,4168300000.0,65335000.0,65335000.0,,,Texas Interferometer,Texas Interferometer,365.0,MHz,integrated from scans,1996AJ....111.1945D
436,318 MHz,12.29,0.49,0.49,Jy,318000000.0,12.29,0.49,0.49,,,3908220000.0,155820000.0,155820000.0,,,Arecibo,?,318.0,MHz,not reported in paper,1981A&AS...45..367K
437,178 MHz,17.26,1.7,1.7,Jy,178000000.0,17.26,1.7,1.7,,,3072280000.0,302600000.0,302600000.0,,,Synthesis telescope,?,178.0,MHz,not reported in paper,1981A&AS...45..367K
438,178 MHz,16.1,8.0,8.0,Jy,178000000.0,16.1,1.288,1.288,,,2865800000.0,229264000.0,229264000.0,,,Ryle,?,178.0,MHz,integrated from scans,1967MmRAS..71...49G
439,178 MHz,16.1,15.0,15.0,Jy,178000000.0,16.1,2.42,2.42,,,2865800000.0,430760000.0,430760000.0,,,Aperture synthesis system,Aperture synthesis system,178.0,MHz,flux integrated from map or image,1969ApJ...157....1K
440,178 MHz,17.9,1.8,1.8,Jy,178000000.0,17.9,1.8,1.8,,,3186200000.0,320400000.0,320400000.0,,,Culgoora,?,178.0,MHz,not reported in paper,1981A&AS...45..367K
441,178 MHz,16.1,,,Jy,178000000.0,16.1,,,,,2865800000.0,,,,,Parkes,?,178.0,MHz,integrated from scans,1990PKS90.C...0000W
442,160 MHz,21.4,3.2,3.2,Jy,160000000.0,21.4,3.2,3.2,,,3424000000.0,512000000.0,512000000.0,,,Culgoora,?,160.0,MHz,not reported in paper,1981A&AS...45..367K
443,160 MHz,20.5,,,Jy,160000000.0,20.5,,,,,3280000000.0,,,,,Culgoora Circular Array,?,160.0,MHz,flux integrated from map or image,1995AuJPh..48..143S
444,145 MHz (PAPER),21.4,,,Jy,145000000.0,21.4,,,,,3103000000.0,,,,,PAPER SA,?,145.0,MHz,flux integrated from map or image,2011ApJ...734L..34J
445,80 MHz,24.0,,,Jy,80000000.0,24.0,,,,,1920000000.0,,,,,Culgoora Circular Array,?,80.0,MHz,flux integrated from map or image,1995AuJPh..48..143S
446,80 MHz,22.0,,,Jy,80000000.0,22.0,,,,,1760000000.0,,,,,Parkes,?,80.0,MHz,integrated from scans,1990PKS90.C...0000W
447,80 MHz,24.0,4.0,4.0,Jy,80000000.0,24.0,4.0,4.0,,,1920000000.0,320000000.0,320000000.0,,,Culgoora,?,80.0,MHz,not reported in paper,1981A&AS...45..367K
448,74 MHz (VLA),27.26,2.8,2.8,Jy,73800000.0,27.26,2.8,2.8,,,2011788000.0,206640000.0,206640000.0,,,VLA,"B, BnA configurations",73.8,MHz,flux integrated from map or image,2007AJ....134.1245C
449,57.5 MHz,39.0,8.0,8.0,Jy,57500000.0,39.0,8.0,8.0,,,2242500000.0,460000000.0,460000000.0,,,TPT array,?,57.5,MHz,flux integrated from map or image,1990ApJ...352...30I
450,38 MHz,33.0,25.0,25.0,Jy,38000000.0,33.0,8.25,8.25,,,1254000000.0,313500000.0,313500000.0,,,Aperture synthesis system,Aperture synthesis system,38.0,MHz,flux integrated from map or image,1969ApJ...157....1K
451,22 MHz (DRAO),83.0,8.0,8.0,Jy,22300000.0,83.0,8.0,8.0,,,1850900000.0,178400000.0,178400000.0,,,T-array,?,22.25,MHz,flux integrated from map or image,1986A&AS...65..485R
