No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
1,0.2-4 keV (EINSTEIN),1.434e-12,,,erg/cm^2/s,5.24599984e+17,2.73351133003466e-07,,,,,143400000000.0,,,,,Einstein,IPC,2.1,keV,flux integrated from map or image,1992ApJS...80..531F
2,0.2-2 keV (ROSAT),1.4625e-13,11.3,11.3,erg/cm^2/s,3.15000014e+17,4.64285693650795e-08,5.23809500529102e-09,5.23809500529102e-09,,,14625000000.0,1650000000.0,1650000000.0,,,ROSAT,PSPC,1.3,keV,flux integrated from map or image,2000WGA...C...0000W
3,1482A (IUE),1.74e-14,2.9e-15,2.9e-15,erg/cm^2/s/A,2022890000000000.0,0.001276,0.0002127,0.0002127,,,2581207640000.0,430268703000.0,430268703000.0,,,IUE,"SWP, LWR, LWP",1482.0,A,flux in fixed aperture,1993ApJS...86....5K
4,FUV (GALEX) AB,12.36,0.01,0.01,mag,1980000060000000.0,0.04131,0.0003805,0.0003805,,,81793802478600.0,753390022830.0,753390022830.0,,,GALEX,FUV detector,1516.0,A,total flux; beam filling or dilution corrected,2007ApJS..173..185G
5,FUV (GALEX),34.67,1.6,1.6,mJy,1960000004030500.0,0.03467,0.0016,0.0016,,,67953200139737.4,3136000006448.8,3136000006448.8,,,GALEX,FUV detector,1528.0,A,flux in fixed aperture,2011ApJ...741..124H
6,FUV (GALEX) AB,12.36,0.02,0.02,mag,1960000004030460.0,0.04131,0.0007609,0.0007609,,,80967600166498.3,1491364003066.78,1491364003066.78,,,GALEX,FUV detector,1530.0,A,total flux; beam filling or dilution corrected,2018ApJS..234...18B
7,FUV (GALEX) AB,12.31,0.05,0.05,mag,1949999977988100.0,0.04325,0.001992,0.001992,,,84337499047985.3,3884399956152.3,3884399956152.3,,,GALEX,FUV detector,1539.0,A,flux in fixed aperture,2011ApJS..192....6L
8,FUV (GALEX),12.32,0.03,0.03,mag,1949999977988100.0,0.006146,0.0001698,0.0001698,,,11984699864714.9,331109996262.379,331109996262.379,,,GALEX,FUV detector,1539.0,A,flux in fixed aperture,2015ApJS..220....6B
9,FUV (GALEX),12.38,0.01,0.01,mag,1949999977988100.0,0.005816,5.357e-05,5.357e-05,,,11341199871978.8,104461498820.823,104461498820.823,,,GALEX,FUV detector,1539.0,A,flux in fixed aperture,2015ApJS..220....6B
10,UV_1650 (m_T),9.14,0.76,0.76,mag,1817000010000000.0,0.072808,0.073808,0.073808,,,132292136728080.0,134109136738080.0,134109136738080.0,,,IUE,ULDA,1650.0,A,multiple methods,1995A&AS..114..527R
11,1913A (IUE),1.81e-14,2e-15,2e-15,erg/cm^2/s/A,1567129950000000.0,0.002212,0.0002445,0.0002445,,,3466491449400.0,383163272775.0,383163272775.0,,,IUE,"SWP, LWR, LWP",1913.0,A,flux in fixed aperture,1993ApJS...86....5K
12,NUV (GALEX) AB,11.94,0.01,0.01,mag,1319999950000000.0,0.06082,0.0005601,0.0005601,,,80282396959000.0,739331971995.0,739331971995.0,,,GALEX,NUV detector,2267.0,A,total flux; beam filling or dilution corrected,2007ApJS..173..185G
13,NUV (GALEX),60.86,1.68,1.68,mJy,1319999947931600.0,0.06086,0.00168,0.00168,,,80335196831117.2,2217599912525.09,2217599912525.09,,,GALEX,NUV detector,2271.0,A,flux in fixed aperture,2011ApJ...741..124H
14,NUV (GALEX) AB,11.87,0.02,0.02,mag,1300000030064640.0,0.06487,0.001195,0.001195,,,84331001950293.2,1553500035927.24,1553500035927.24,,,GALEX,NUV detector,2310.0,A,total flux; beam filling or dilution corrected,2018ApJS..234...18B
15,NUV (GALEX) AB,11.76,0.03,0.03,mag,1290000004022300.0,0.07178,0.001983,0.001983,,,92596200288720.7,2558070007976.22,2558070007976.22,,,GALEX,NUV detector,2316.0,A,flux in fixed aperture,2011ApJS..192....6L
16,NUV (GALEX),11.79,0.01,0.01,mag,1290000004022270.0,0.01516,0.0001397,0.0001397,,,19556400060977.6,180213000561.911,180213000561.911,,,GALEX,NUV detector,2316.0,A,flux in fixed aperture,2015ApJS..220....6B
17,NUV (GALEX),11.83,0.01,0.01,mag,1290000004022270.0,0.01462,0.0001346,0.0001346,,,18859800058805.6,173634000541.398,173634000541.398,,,GALEX,NUV detector,2316.0,A,flux in fixed aperture,2015ApJS..220....6B
18,2373A (IUE),1.77e-14,2.8e-15,2.8e-15,erg/cm^2/s/A,1263350000000000.0,0.003329,0.0005266,0.0005266,,,4205692150000.0,665280110000.0,665280110000.0,,,IUE,"SWP, LWR, LWP",2373.0,A,flux in fixed aperture,1993ApJS...86....5K
19,UV_2500 (m_T),9.28,0.78,0.78,mag,1198999980000000.0,0.14693,0.15445,0.15445,,,176169067061400.0,185185546911000.0,185185546911000.0,,,IUE,ULDA,2500.0,A,multiple methods,1995A&AS..114..527R
20,2700A (IUE),2.25e-14,1.8e-15,1.8e-15,erg/cm^2/s/A,1110339980000000.0,0.005478,0.0004383,0.0004383,,,6082442410440.0,486662013234.0,486662013234.0,,,IUE,"SWP, LWR, LWP",2700.0,A,flux in fixed aperture,1993ApJS...86....5K
21,UV_3150 (m_T),8.64,0.57,0.57,mag,951699993000000.0,0.42056,0.29037,0.29037,,,400246949056080.0,276345126967410.0,276345126967410.0,,,IUE,ULDA,3150.0,A,multiple methods,1995A&AS..114..527R
22,U (U_T),9.74,0.1,0.1,mag,818999999000000.0,0.23,0.02265,0.02265,,,188369999770000.0,18550349977350.0,18550349977350.0,,,Literature compilation,Literature compilation,3660.0,A,multiple methods,1991RC3.9.C...0000d
23,U (U_T^0),9.08,,,mag,818999999000000.0,0.4224,,,,,345945599577600.0,,,,,Literature compilation,Literature compilation,3660.0,A,multiple methods,1991RC3.9.C...0000d
24,U (Johnson) AB,10.44,0.03,0.03,mag,818999998808064.0,0.2421,0.00669,0.00669,,,198279899711432.0,5479109992025.95,5479109992025.95,,,Multiple telescopes,Multiple instruments,3660.0,A,flux in fixed aperture,2014MNRAS.445..881C
25,B (Johnson) AB,9.75,0.03,0.03,mag,681000015233024.0,0.4571,0.01263,0.01263,,,311285106963015.0,8601030192393.09,8601030192393.09,,,Multiple telescopes,Multiple instruments,4400.0,A,flux in fixed aperture,2014MNRAS.445..881C
26,m_p,9.8,0.4,0.4,mag,681000015000000.0,0.51216,0.22814,0.22814,,,348780967682400.0,155363343422100.0,155363343422100.0,,,Oschin Schmidt,Photographic plates,4400.0,A,estimated by eye,1963CGCG2.C...0000Z
27,B (m_B),9.59,0.15,0.15,mag,681000015000000.0,0.6215,0.09207,0.09207,,,423241509322500.0,62699671381050.0,62699671381050.0,,,Literature compilation,Literature compilation,4400.0,A,multiple methods,1991RC3.9.C...0000d
28,B (B_T),9.68,0.1,0.1,mag,681000015000000.0,0.572,0.05519,0.05519,,,389532008580000.0,37584390827850.0,37584390827850.0,,,Literature compilation,Literature compilation,4400.0,A,multiple methods,1991RC3.9.C...0000d
29,B (B_T^0),9.11,,,mag,681000015000000.0,0.967,,,,,658527014505000.0,,,,,Literature compilation,Literature compilation,4400.0,A,multiple methods,1991RC3.9.C...0000d
30,V (Cousins),8.88,0.02,0.02,mag,545000010000000.0,1.02,0.019,0.019,,,555900010200000.0,10355000190000.0,10355000190000.0,,,1.2m,CCD,5500.0,A,flux in fixed aperture,1996A&AS..118..111H
31,V (Johnson),10.08,0.08,0.08,mag,542120000000000.0,0.3381,0.02586,0.02586,,,183290772000000.0,14019223200000.0,14019223200000.0,,,Radcliffe,Photometer,5530.0,A,flux in fixed aperture,1977Obs....97..238G
32,V (Johnson),10.7,0.03,0.03,mag,542120000000000.0,0.191,0.005352,0.005352,,,103544920000000.0,2901426240000.0,2901426240000.0,,,"60in, 100in",?,5530.0,A,flux in fixed aperture,1961AJ.....66..390T
33,V (Johnson),12.01,0.08,0.08,mag,542120000000000.0,0.05716,0.004371,0.004371,,,30987579200000.0,2369606520000.0,2369606520000.0,,,Radcliffe,Photometer,5530.0,A,flux in fixed aperture,1977Obs....97..238G
34,V (Johnson),11.44,0.03,0.03,mag,542120000000000.0,0.09663,0.002707,0.002707,,,52385055600000.0,1467518840000.0,1467518840000.0,,,"60in, 100in",?,5530.0,A,flux in fixed aperture,1961AJ.....66..390T
35,V (Johnson),12.0,0.03,0.03,mag,542120000000000.0,0.05769,0.001616,0.001616,,,31274902800000.0,876065920000.0,876065920000.0,,,"60in, 100in",?,5530.0,A,flux in fixed aperture,1961AJ.....66..390T
36,V (Johnson),11.17,0.08,0.08,mag,542120000000000.0,0.1239,0.009475,0.009475,,,67168668000000.0,5136587000000.0,5136587000000.0,,,Radcliffe,Photometer,5530.0,A,flux in fixed aperture,1977Obs....97..238G
37,V (Johnson),10.66,0.08,0.08,mag,542120000000000.0,0.1982,0.01516,0.01516,,,107448184000000.0,8218539200000.0,8218539200000.0,,,Radcliffe,Photometer,5530.0,A,flux in fixed aperture,1977Obs....97..238G
38,V (Johnson),10.29,0.08,0.08,mag,542120000000000.0,0.2787,0.02131,0.02131,,,151088844000000.0,11552577200000.0,11552577200000.0,,,Radcliffe,Photometer,5530.0,A,flux in fixed aperture,1977Obs....97..238G
39,V (V_T^0),8.56,,,mag,542000009000000.0,1.371,,,,,743082012339000.0,,,,,Literature compilation,Literature compilation,5530.0,A,multiple methods,1991RC3.9.C...0000d
40,V (V_T),9.01,0.1,0.1,mag,542000009000000.0,0.9059,0.08786,0.08786,,,490997808153100.0,47620120790740.0,47620120790740.0,,,Literature compilation,Literature compilation,5530.0,A,multiple methods,1991RC3.9.C...0000d
41,V (Johnson),8.98,,,mag,542000009000000.0,0.09313,,,,,50476460838170.0,,,,,"CFHT, 1.5m, HST, 2.1m, 2.5m, 1.5m","HRCam,  Mosaic II, ACS, T2KA, WideField",5530.0,A,total flux; beam filling or dilution corrected,2008AJ....136..773F
42,V (Johnson) AB,9.07,0.03,0.03,mag,542000008921088.0,0.8551,0.02363,0.02363,,,463464207628422.0,12807460210805.3,12807460210805.3,,,Multiple telescopes,Multiple instruments,5530.0,A,flux in fixed aperture,2014MNRAS.445..881C
43,R' (Kron-Cousins),11.34,0.19,0.19,mag,448120010000000.0,0.08092,0.01547,0.01547,,,36261871209200.0,6932416554700.0,6932416554700.0,,,Radcliffe,Photometer,6690.0,A,flux in fixed aperture,1977Obs....97..238G
44,R' (Kron-Cousins),9.6,0.19,0.19,mag,448120010000000.0,0.4018,0.07685,0.07685,,,180054620018000.0,34438022768500.0,34438022768500.0,,,Radcliffe,Photometer,6690.0,A,flux in fixed aperture,1977Obs....97..238G
45,R' (Kron-Cousins),9.4,0.19,0.19,mag,448120010000000.0,0.4831,0.09239,0.09239,,,216486776831000.0,41401807723900.0,41401807723900.0,,,Radcliffe,Photometer,6690.0,A,flux in fixed aperture,1977Obs....97..238G
46,R' (Kron-Cousins),9.95,0.19,0.19,mag,448120010000000.0,0.2911,0.05567,0.05567,,,130447734911000.0,24946840956700.0,24946840956700.0,,,Radcliffe,Photometer,6690.0,A,flux in fixed aperture,1977Obs....97..238G
47,R' (Kron-Cousins),10.45,0.19,0.19,mag,448120010000000.0,0.1837,0.03513,0.03513,,,82319645837000.0,15742455951300.0,15742455951300.0,,,Radcliffe,Photometer,6690.0,A,flux in fixed aperture,1977Obs....97..238G
48,I (Cousins),7.72,0.01,0.01,mag,378999994000000.0,2.08,0.0193,0.0193,,,788319987520000.0,7314699884200.0,7314699884200.0,,,1.2m,CCD,7900.0,A,flux in fixed aperture,1996A&AS..118..111H
49,I,7.8,0.03,0.03,mag,378999994000000.0,1.934,0.05345,0.05345,,,732985988396000.0,20257549679300.0,20257549679300.0,,,"1m, 3.9m, 0.9m, 1.3m",?,7900.0,A,total flux; beam filling or dilution corrected,2007ApJS..172..599S
50,I,7.56,,,mag,378999994000000.0,2.413,,,,,914526985522000.0,,,,,"1m, 3.9m, 0.9m, 1.3m",?,7900.0,A,total flux; beam filling or dilution corrected,2007ApJS..172..599S
51,R (Cousins) AB,8.68,0.03,0.03,mag,378999993794560.0,1.225,0.03384,0.03384,,,464274992398336.0,12825359790007.9,12825359790007.9,,,Multiple telescopes,Multiple instruments,7900.0,A,flux in fixed aperture,2014MNRAS.445..881C
52,I (Johnson),9.2,0.03,0.03,mag,333103000000000.0,0.468,0.01311,0.01311,,,155892204000000.0,4366980330000.0,4366980330000.0,,,"60in, 100in",?,9000.0,A,flux in fixed aperture,1961AJ.....66..390T
53,I (Johnson),9.86,0.03,0.03,mag,333103000000000.0,0.2548,0.007139,0.007139,,,84874644400000.0,2378022317000.0,2378022317000.0,,,"60in, 100in",?,9000.0,A,flux in fixed aperture,1961AJ.....66..390T
54,I (Johnson),10.45,0.03,0.03,mag,333103000000000.0,0.148,0.004146,0.004146,,,49299244000000.0,1381045038000.0,1381045038000.0,,,"60in, 100in",?,9000.0,A,flux in fixed aperture,1961AJ.....66..390T
55,J,9.66,0.12,0.12,mag,249827007000000.0,0.2243,0.02621,0.02621,,,56036197670100.0,6547965853470.0,6547965853470.0,,,"1.88m, 1.5m, 1m",Photometer,1.2,microns,flux in fixed aperture,1976MNRAS.175..191G
56,J (Johnson),7.89,0.03,0.03,mag,241768004000000.0,1.119,0.03136,0.03136,,,270538396476000.0,7581844605440.0,7581844605440.0,,,Multiple telescopes,Photometer,1.24,microns,flux in fixed aperture,1977HarvU.T00M....A
57,J (Johnson),9.09,0.06,0.06,mag,241768004000000.0,0.3706,0.02106,0.02106,,,89599222282400.0,5091634164240.0,5091634164240.0,,,Multiple telescopes,Photometer,1.24,microns,flux in fixed aperture,1977HarvU.T00M....A
58,J (Johnson),8.83,0.06,0.06,mag,241768004000000.0,0.4709,0.02676,0.02676,,,113848553083600.0,6469711787040.0,6469711787040.0,,,Multiple telescopes,Photometer,1.24,microns,flux in fixed aperture,1977HarvU.T00M....A
59,F_J (total),3.54,2.95,2.95,log(mJy),240999993000000.0,3.4674,0.89778,0.89778,,,835643375728200.0,216364973715540.0,216364973715540.0,,,"1.0m, 2.1m",InSb detector,1.244,microns,corrected to total flux from single aperture measurements,1995ApJ...453..616S
60,J_14arcsec (2MASS),10.106,0.015,0.015,mag,240000004000000.0,0.14439,0.0020087,0.0020087,,,34653600577560.0,482088008034.8,482088008034.8,,,1.3m,256x256 NICMOS3,1.25,microns,flux in fixed aperture,20032MASX.C.......:
61,J_20 (2MASS LGA),7.03,0.015,0.015,mag,240000004000000.0,2.4544,0.034143,0.034143,,,589056009817600.0,8194320136572.0,8194320136572.0,,,1.3m,256x256 NICMOS3,1.25,microns,flux integrated from map or image,2003AJ....125..525J
62,J_tot (2MASS LGA),6.951,0.016,0.016,mag,240000004000000.0,2.6396,0.039186,0.039186,,,633504010558400.0,9404640156744.0,9404640156744.0,,,1.3m,256x256 NICMOS3,1.25,microns,total flux; beam filling or dilution corrected,2003AJ....125..525J
63,J_Kron (2MASS LGA),6.994,0.015,0.015,mag,240000004000000.0,2.5371,0.035295,0.035295,,,608904010148400.0,8470800141180.0,8470800141180.0,,,1.3m,256x256 NICMOS3,1.25,microns,flux integrated from map or image,2003AJ....125..525J
64,F_H (total),3.69,3.1,3.1,log(mJy),184000006000000.0,4.8978,1.2682,1.2682,,,901195229386800.0,233348807609200.0,233348807609200.0,,,"1.0m, 2.1m",InSb detector,1.634,microns,corrected to total flux from single aperture measurements,1995ApJ...453..616S
65,H,8.85,0.12,0.12,mag,182799999000000.0,0.2971,0.03471,0.03471,,,54309879702900.0,6344987965290.0,6344987965290.0,,,"1.88m, 1.5m, 1m",Photometer,1.64,microns,flux in fixed aperture,1976MNRAS.175..191G
66,H_Kron (2MASS LGA),6.365,0.016,0.016,mag,181999994000000.0,2.9127,0.043242,0.043242,,,530111382523800.0,7870043740548.0,7870043740548.0,,,1.3m,256x256 NICMOS3,1.65,microns,flux integrated from map or image,2003AJ....125..525J
67,H_14arcsec (2MASS),9.33,0.015,0.015,mag,181999994000000.0,0.1898,0.0026404,0.0026404,,,34543598861200.0,480552784157.6,480552784157.6,,,1.3m,256x256 NICMOS3,1.65,microns,flux in fixed aperture,20032MASX.C.......:
68,H_20 (2MASS LGA),6.394,0.016,0.016,mag,181999994000000.0,2.836,0.042101,0.042101,,,516151982984000.0,7662381747394.0,7662381747394.0,,,1.3m,256x256 NICMOS3,1.65,microns,flux integrated from map or image,2003AJ....125..525J
