1.000000000000000e-03 1.447625389715955e+03 2.160601683613358e+03 2.771224055276627e+03 3.377349307702925e+03
1.072267222010323e-03 1.350789284554383e+03 2.010669793097315e+03 2.572823483498983e+03 3.127059996575981e+03
1.149756995397736e-03 1.260282422295116e+03 1.870723773777941e+03 2.387980018778497e+03 2.894444776859362e+03
1.232846739442066e-03 1.175690556956754e+03 1.740111779889346e+03 2.215795756920316e+03 2.678301300925503e+03
1.321941148466029e-03 1.096626870657147e+03 1.618224458641290e+03 2.055431404776957e+03 2.477507024348849e+03
1.417474162926805e-03 1.022730143230278e+03 1.504492158361403e+03 1.906102459550160e+03 2.291013975044051e+03
1.519911082952933e-03 9.536630444224641e+02 1.398382321462305e+03 1.767075638397349e+03 2.117843864113398e+03
1.629750834620644e-03 8.891105404295242e+02 1.299397049935465e+03 1.637665541849650e+03 1.957083516044285e+03
1.747528400007683e-03 8.287784070911010e+02 1.207070831895491e+03 1.517231535640580e+03 1.807880597365783e+03
1.873817422860383e-03 7.723918425754234e+02 1.120968418465486e+03 1.405174836564251e+03 1.669439624244796e+03
2.009233002565048e-03 7.196941728702678e+02 1.040682841009480e+03 1.300935788933598e+03 1.541018230783259e+03
2.154434690031884e-03 6.704456438457906e+02 9.658335593854922e+02 1.203991319097750e+03 1.421923680974520e+03
2.310129700083160e-03 6.244222940746158e+02 8.960647325154055e+02 1.113852556306963e+03 1.311509608394722e+03
2.477076355991711e-03 5.814149029860728e+02 8.310436031489357e+02 1.030062608987944e+03 1.209172968749291e+03
2.656087782946687e-03 5.412280092966345e+02 7.704589892409139e+02 9.521944862151304e+02 1.114351191369929e+03
2.848035868435802e-03 5.036789949993006e+02 7.140198748668772e+02 8.798491548383995e+02 1.026519516668825e+03
3.053855508833415e-03 4.685972305124073e+02 6.614540940737608e+02 8.126537233576726e+02 9.451885074080251e+02
3.274549162877729e-03 4.358232768848400e+02 6.125071015026842e+02 7.502597442230543e+02 8.699017224371579e+02
3.511191734215131e-03 4.052081412311393e+02 5.669408240315545e+02 6.923416267883487e+02 8.002335422957464e+02
3.764935806792468e-03 3.766125818280307e+02 5.245325880683647e+02 6.385951536585009e+02 7.357871367704079e+02
4.037017258596553e-03 3.499064595445926e+02 4.850741174836143e+02 5.887360936502515e+02 6.761925651458259e+02
4.328761281083057e-03 3.249681325028562e+02 4.483705975038279e+02 5.424989050322856e+02 6.211050004942571e+02
4.641588833612782e-03 3.016838910751641e+02 4.142398001993797e+02 4.996355231285342e+02 5.702030699144831e+02
4.977023564332114e-03 2.799474305200915e+02 3.825112674902052e+02 4.599142267580145e+02 5.231873031600734e+02
