1.000000000000000e+17	1.002477881472269e+17
1.123324032978031e+17	1.126107496786701e+17
1.261856883066018e+17	1.264983614857222e+17
1.417474162926808e+17	1.420986496107108e+17
1.592282793341087e+17	1.596228282660861e+17
1.788649529057435e+17	1.793081597736678e+17
2.009233002565054e+17	2.014211677642346e+17
2.257019719633917e+17	2.262612485869370e+17
2.535364493970116e+17	2.541647328182316e+17
2.848035868435793e+17	2.855094578557204e+17
3.199267137797384e+17	3.207199235014280e+17
3.593813663804641e+17	3.602731144360455e+17
4.037017258596550e+17	4.047050853936943e+17
4.534878508128591e+17	4.546184145499605e+17
5.094138014816365e+17	5.106906373578337e+17
5.722367659350220e+17	5.736837766883450e+17
6.428073117284346e+17	6.444550873121838e+17
7.220809018385457e+17	7.239691360606263e+17
8.111308307896890e+17	8.133113461978305e+17
9.111627561154868e+17	9.137031477662292e+17
1.023531021899027e+18	1.026518896005995e+18
1.149756995397740e+18	1.153304747400293e+18
1.291549665014883e+18	1.295799716712655e+18
1.450828778495943e+18	1.455959177493496e+18
1.629750834620640e+18	1.635981111888776e+18
1.830738280295370e+18	1.838335462505851e+18
2.056512308348660e+18	2.065796989002229e+18
2.310129700083158e+18	2.321482085948826e+18
2.595024211399742e+18	2.608890076679547e+18
2.915053062825170e+18	2.931949563245162e+18
3.274549162877732e+18	3.295070485573833e+18
3.678379771828619e+18	3.703202623675530e+18
4.132012400115335e+18	4.161901364204472e+18
4.641588833612792e+18	4.677401642987174e+18
5.214008287999673e+18	5.256701075648329e+18
5.857020818056673e+18	5.907653398046720e+18
6.579332246575656e+18	6.639073469798357e+18
7.390722033525775e+18	7.460855250849616e+18
8.302175681319769e+18	8.384104335385478e+18
9.326033468832180e+18	9.421286844665131e+18
1.047615752789666e+19	1.058639670053872e+19
1.176811952434994e+19	1.189514356213781e+19
1.321941148466029e+19	1.336516398563465e+19
1.484968262254470e+19	1.501625869029026e+19
1.668100537200056e+19	1.687065923617143e+19
1.873817422860387e+19	1.895332827306553e+19
2.104904144512013e+19	2.129230019390136e+19
2.364489412645407e+19	2.391907772105350e+19
2.656087782946695e+19	2.686912403756055e+19
2.983647240283334e+19	3.018254414556339e+19
3.351602650938848e+19	3.390514675830133e+19
3.764935806792456e+19	3.809022166974406e+19
4.229242874389499e+19	4.280154276399026e+19
4.750810162102813e+19	4.811828907101644e+19
5.336699231206302e+19	5.414273587807967e+19
5.994842503189421e+19	6.101165543051277e+19
6.734150657750801e+19	6.891227431662744e+19
7.564633275546290e+19	7.810314220427733e+19
8.497534359086403e+19	8.893888881546189e+19
9.545484566618328e+19	1.018947955827928e+20
1.072267222010325e+20	1.175817841575216e+20
1.204503540258779e+20	1.367367223121352e+20
1.353047774579808e+20	1.601745887457866e+20
1.519911082952927e+20	1.887083721122120e+20
1.707352647470689e+20	2.230728733747169e+20
1.917910261672493e+20	2.638952905091919e+20
2.154434690031878e+20	3.117193173047265e+20
2.420128264794383e+20	3.670500111869637e+20
2.718588242732929e+20	4.303877595782621e+20
3.053855508833413e+20	5.022471119290218e+20
3.430469286314926e+20	5.831737869607675e+20
3.853528593710519e+20	6.737718091138294e+20
4.328761281083062e+20	7.747433119328916e+20
4.862601580065334e+20	8.869369225274781e+20
5.462277217684337e+20	1.011398655948796e+21
6.135907273413189e+20	1.149421113285750e+21
6.892612104349681e+20	1.302588112237475e+21
7.742636826811277e+20	1.472816140129864e+21
8.697490026177799e+20	1.662392580034323e+21
9.770099572992247e+20	1.874012510438710e+21
1.097498765493059e+21	2.110814964407973e+21
1.232846739442063e+21	2.376419452581077e+21
1.384886371393875e+21	2.674963308482256e+21
1.555676143930466e+21	3.011140422782157e+21
1.747528400007683e+21	3.390242143640637e+21
1.963040650040276e+21	3.818201398819528e+21
2.205130739903041e+21	4.301642466200029e+21
2.477076355991714e+21	4.847937084051463e+21
2.782559402207114e+21	5.465272665380487e+21
3.125715849688235e+21	6.162732784728544e+21
3.511191734215142e+21	6.950394287682326e+21
3.944206059437648e+21	7.839445606340613e+21
4.430621457583887e+21	8.842325220926050e+21
4.977023564332093e+21	9.972885196890224e+21
5.590810182512223e+21	1.124658070896974e+22
6.280291441834272e+21	1.268068799205671e+22
7.054802310718631e+21	1.429455334490559e+22
7.924828983539186e+21	1.610987635008360e+22
8.902150854450356e+21	1.815103108819221e+22
1.000000000000000e+22	2.044542976628566e+22
