1.1	0.367	3.12	8.09	-19	0.365	3.09	8.09	-19	0.0	0.0	1.08	-18	0.768	2.49	9.43	-19
1.2	0.282	2.96	7.70	-18	0.287	2.96	7.70	-18	0.0778	0.306	9.91	-18	0.569	2.35	9.22	-18
1.3	0.260	2.83	2.05	-17	0.250	2.89	1.99	-17	0.242	0.792	2.47	-17	0.491	2.41	2.35	-17
1.4	0.239	2.76	3.66	-17	0.238	2.76	3.62	-17	0.377	1.09	4.43	-17	0.395	2.45	4.20	-17
1.5	0.224	2.69	5.48	-17	0.220	2.71	5.39	-17	0.440	1.06	6.70	-17	0.31	2.45	6.26	-17
1.6	0.207	2.66	7.39	-17	0.206	2.67	7.39	-17	0.450	0.953	9.04	-17	0.323	2.43	8.57	-17
1.7	0.198	2.62	9.52	-17	0.197	2.62	9.48	-17	0.461	0.956	1.18	-16	0.305	2.40	1.13	-16
1.8	0.193	2.56	1.20	-16	0.193	2.56	1.20	-16	0.451	0.922	1.32	-16	0.285	2.39	1.39	-16
1.9	0.187	2.52	1.47	-16	0.187	2.52	1.47	-16	0.464	0.912	1.77	-16	0.270	2.37	1.70	-16
2.0	0.181	2.49	1.75	-16	0.178	2.51	1.74	-16	0.446	0.940	2.11	-16	0.259	2.35	2.05	-16
3.0	0.122	2.48	3.31	-16	0.123	2.48	3.38	-16	0.366	1.49	3.83	-16	0.158	2.42	3.81	-16
4.0	0.106	2.50	4.16	-16	0.106	2.56	5.17	-16	0.249	2.03	5.09	-16	0.129	2.46	4.74	-16
5.0	0.0983	2.46	5.57	-16	0.0944	2.57	7.61	-16	0.204	2.18	7.26	-16	0.113	2.45	6.30	-16
6.0	0.0875	2.46	6.78	-16	0.0829	2.58	9.57	-16	0.174	2.24	9.26	-16	0.0996	2.46	7.65	-16
7.0	0.0830	2.44	7.65	-16	0.0801	2.54	1.11	-15	0.156	2.28	1.07	-15	0.0921	2.46	8.61	-16
8.0	0.0783	2.44	8.52	-16	0.0752	2.53	1.25	-15	0.140	2.32	1.19	-15	0.0861	2.45	9.61	-16
9.0	0.0735	2.45	9.17	-16	0.0680	2.56	1.36	-15	0.121	2.39	1.29	-15	0.0800	2.47	1.03	-15
10.0	0.0644	2.50	9.57	-16	0.0615	2.60	1.46	-15	0.107	2.46	1.40	-15	0.0723	2.51	1.10	-15
30.0	0.0333	2.77	3.07	-15	0.0361	2.78	5.87	-15	0.0705	2.53	5.65	-15	0.0411	2.70	3.55	-15
100.0	0.0224	2.86	1.58	-14	0.0228	2.88	3.10	-14	0.0463	2.62	3.01	-14	0.0283	2.77	1.86	-14
